ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
MIAMI VALLEY HOSPITAL FERTILITY CENTER,DAYTON,OHIO,Yes,Yes,Yes,Yes,No,83%,17%,0%,24%,0%,36%,16%,2%,17%,15%,7%,7%,40,30,5,25.0,20.0,1/5,22.5,10.0,1/5,(9.6 - 35.4),(0.0 - 20.7),,28.1,13.6,1/4,29.0,3/18,1/4,20.0,26.7,1/5,3.7,3.5,4.0,3/10,2/6,0/1,2/9,2/3,0/1,18,3,1,1/18,0/3,0/1,2.7,2.3,2.0,1,1,4,0/1,0/1,0/4,0,0,1,,,0/1,2.0,4.0,2.4
OHIO REPRODUCTIVE MEDICINE,COLUMBUS,OHIO,Yes,Yes,Yes,Yes,No,69%,30%,1%,16%,0%,36%,17%,2%,19%,16%,2%,8%,126,86,45,38.9,36.0,8.9,34.9,31.4,6.7,(26.6 - 43.2),(21.6 - 41.2),(0.0 - 14.0),36.7,38.0,12.5,37.6,38.0,14.3,4.8,17.4,46.7,3.9,4.0,4.9,38.8,29.0,1/4,40.9,29.6,1/3,25,15,5,28.0,2/15,2/5,3.9,3.1,4.6,1,2,6,0/1,1/2,0/6,0,2,0,,0/2,,4.0,3.8,3.7
SUMMA HEALTH SYSTEMS IVF CENTER,AKRON,OHIO,Yes,No,No,No,No,90%,10%,0%,21%,0%,43%,13%,2%,8%,14%,3%,17%,41,24,8,39.0,29.2,1/8,36.6,29.2,1/8,(21.8 - 51.3),(11.0 - 47.4),,38.5,7/18,1/4,38.5,7/18,1/4,4.9,25.0,4/8,3.0,3.6,4.5,7/16,2/7,0/1,5/15,1/7,0/1,22,6,1,0.0,1/6,0/1,3.1,2.3,2.0,0,0,0,,,,0,0,0,,,,,,
CLEVELAND CLINIC FOUNDATION,CLEVELAND,OHIO,Yes,No,No,No,No,100%,0%,0%,45%,1%,16%,13%,0%,6%,37%,6%,22%,72,63,12,33.3,31.7,2/12,27.8,19.0,0/12,(17.4 - 38.1),(9.4 - 28.7),,30.3,23.1,0/9,34.5,25.5,0/9,8.3,17.5,3/12,2.8,2.9,2.9,29.2,30.0,0/2,30.0,6/12,,35,30,2,17.1,16.7,1/2,2.6,2.6,4.5,0,0,0,,,,0,0,0,,,,,,
UNIVERSITY HOSPITALS OF CLEVELAND,CLEVELAND,OHIO,Yes,Yes,Yes,Yes,No,100%,0%,0%,25%,0%,39%,3%,0%,11%,22%,7%,18%,129,64,21,17.1,25.0,9.5,14.0,25.0,9.5,(8.0 - 19.9),(14.4 - 35.6),(0.0 - 22.1),15.8,31.4,2/17,15.9,32.0,2/17,11.6,20.3,19.0,3.6,3.8,3.6,40.9,6/16,2/2,9/18,6/16,1/2,39,25,10,5.1,8.0,0/10,2.8,3.0,3.0,4,4,18,0/4,0/4,5/18,3,2,0,0/3,0/2,,3.0,4.0,3.7
GENETICS AND IVF INSTITUTE OF OHIO,DAYTON,OHIO,Yes,Yes,No,No,No,100%,0%,0%,11%,0%,44%,7%,0%,9%,26%,14%,0%,45,31,8,40.0,29.0,1/8,35.6,22.6,1/8,(21.6 - 49.5),(7.9 - 37.3),,43.2,28.0,1/6,47.1,28.0,1/6,17.8,19.4,2/8,2.9,3.4,3.0,4/18,2/9,1/1,3/16,2/7,1/1,6,10,0,2/6,5/10,,3.7,4.1,,0,0,0,,,,0,0,0,,,,,,
"FERTILITY UNLIMITED, INC.",AKRON,OHIO,Yes,Yes,No,Yes,No,98%,2%,0%,29%,0%,43%,19%,2%,8%,6%,16%,6%,39,16,1,23.1,5/16,0/1,20.5,1/16,0/1,(7.8 - 33.2),,,26.7,1/14,,26.7,1/14,,23.1,2/16,1/1,3.6,3.5,,3/9,0/5,,2/8,0/1,,14,8,0,1/14,2/8,,2.4,2.6,,3,2,5,2/3,1/2,2/5,4,1,1,0/4,0/1,0/1,3.1,3.3,4.0
FERTILITY CENTER OF NORTHWEST OHIO,TOLEDO,OHIO,Yes,Yes,No,Yes,Yes,100%,0%,0%,46%,0%,35%,15%,0%,8%,24%,8%,10%,66,21,8,25.8,33.3,0/8,21.2,28.6,0/8,(11.3 - 31.1),(9.2 - 47.9),,21.9,28.6,0/8,25.0,30.0,0/6,3.0,0.0,0/8,2.8,2.8,3.2,4/17,1/7,,3/14,0/6,,12,4,1,1/12,0/4,0/1,3.0,2.5,2.0,3,0,1,2/3,,0/1,0,0,0,,,,3.3,,3.0
UNIVERSITY OF CINCINNATI,CINCINNATI,OHIO,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,37%,0%,14%,15%,7%,41%,13%,6%,4%,16,9,2,6/16,1/9,0/2,5/16,1/9,0/2,,,,5/16,1/8,0/2,5/15,1/7,0/1,0/16,1/9,0/2,3.5,2.7,3.0,2/6,0/1,,2/5,0/1,,11,4,1,3/11,1/4,1/1,2.2,2.0,4.0,1,9,16,1/1,2/9,8/16,5,4,9,2/5,2/4,4/9,3.2,2.9,3.0
TULSA CENTER FOR FERTILITY AND WOMEN'S HEALTH,TULSA,OKLAHOMA,Yes,No,No,No,No,99%,1%,0%,29%,0%,25%,9%,1%,13%,35%,17%,0%,72,55,9,37.5,27.3,0/9,33.3,20.0,0/9,(22.4 - 44.2),(9.4 - 30.6),,36.9,28.2,0/5,38.1,30.6,0/4,9.7,29.1,4/9,3.2,3.5,1.8,48.1,3/15,,41.7,2/11,,8,3,0,1/8,0/3,,2.8,1.3,,0,0,0,,,,0,0,0,,,,,,
CENTER FOR REPRODUCTIVE HEALTH,OKLAHOMA CITY,OKLAHOMA,Yes,No,No,No,No,100%,0%,0%,47%,0%,28%,7%,0%,11%,47%,0%,7%,23,7,4,34.8,2/7,0/4,21.7,2/7,0/4,(4.9 - 38.6),,,23.8,2/7,0/4,23.8,2/7,0/3,8.7,0/7,0/4,3.0,3.1,3.7,4/8,0/2,,3/5,0/2,,18,7,0,1/18,1/7,,2.6,3.0,,0,0,0,,,,0,0,0,,,,,,
"HENRY G. BENNETT, JR., FERTILITY INSTITUTE",OKLAHOMA CITY,OKLAHOMA,Yes,No,No,Yes,Yes,80%,20%,0%,4%,0%,41%,29%,0%,24%,4%,0%,2%,44,43,15,34.1,14.0,1/15,25.0,9.3,1/15,(12.2 - 37.8),(0.6 - 18.0),,25.6,10.5,1/11,29.7,11.4,1/7,2.3,11.6,4/15,3.8,3.6,3.9,2/15,2/6,0/1,2/11,2/4,0/1,9,3,1,1/9,1/3,0/1,3.2,3.7,3.0,0,2,5,,0/2,1/5,0,0,0,,,,,3.5,4.6
NORTHWEST FERTILITY CENTER,PORTLAND,OREGON,Yes,Yes,Yes,Yes,No,100%,0%,0%,29%,0%,31%,12%,0%,10%,14%,28%,5%,40,21,7,30.0,14.3,0/7,30.0,9.5,0/7,(15.8 - 44.2),(0.0 - 22.1),,34.3,2/17,0/6,36.4,2/17,0/6,12.5,19.0,1/7,4.2,3.9,4.3,6/12,0/3,,5/12,0/2,,18,13,7,3/18,2/13,1/7,4.7,3.1,4.3,6,6,14,3/6,1/6,7/14,7,11,15,2/7,1/11,5/15,3.7,3.2,3.5
REPRODUCTIVE SCIENCE CENTER OF GREATER PHILADELPHIA,WAYNE,PENNSYLVANIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,24%,0%,35%,22%,2%,10%,12%,19%,0%,46,18,6,23.9,4/18,0/6,21.7,3/18,0/6,(9.8 - 33.7),,,24.4,3/15,0/6,25.6,3/14,0/5,10.9,3/18,0/6,4.5,4.1,3.0,4/11,1/4,,4/10,1/3,,15,5,0,2/15,0/5,,3.9,5.0,,2,6,3,0/2,2/6,0/3,0,0,0,,,,5.5,5.2,5.3
"WOMEN'S CLINIC, LTD.",WEST READING,PENNSYLVANIA,Yes,No,No,No,No,100%,0%,0%,28%,0%,36%,6%,0%,22%,35%,1%,0%,27,24,17,18.5,20.8,3/17,11.1,20.8,2/17,(0.0 - 23.0),(4.6 - 37.1),,13.0,5/18,2/7,13.6,5/17,2/7,14.8,25.0,10/17,4.6,3.4,4.4,3/5,1/5,0/3,3/3,1/5,0/2,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
GEISINGER MEDICAL CENTER FERTILITY PROGRAM,DANVILLE,PENNSYLVANIA,Yes,Yes,No,Yes,No,91%,9%,0%,12%,0%,34%,15%,2%,2%,11%,5%,31%,34,14,9,26.5,1/14,0/9,26.5,1/14,0/9,(11.6 - 41.3),,,30.0,1/8,0/7,30.0,1/7,0/6,11.8,6/14,2/9,3.8,4.1,2.8,2/9,1/1,,2/9,1/1,,15,5,3,6/15,0/5,0/3,3.3,3.6,2.7,1,2,2,0/1,0/2,2/2,0,0,0,,,,3.0,3.0,3.5
REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY CENTER,UPLAND,PENNSYLVANIA,Yes,Yes,No,Yes,Yes,97%,2%,1%,34%,0%,23%,19%,4%,4%,19%,27%,4%,47,45,11,21.3,26.7,4/11,14.9,20.0,3/11,(4.7 - 25.1),(8.3 - 31.7),,15.2,22.5,3/6,17.1,23.7,3/5,2.1,11.1,5/11,5.1,4.5,4.2,4/10,7/12,1/4,3/7,6/9,1/3,18,11,3,4/18,0/11,0/3,4.6,4.0,4.3,2,1,12,1/2,0/1,4/12,0,0,0,,,,2.5,4.0,3.8
UNIVERSITY OF PENNSYLVANIA MEDICAL CENTER,PHILADELPHIA,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,97%,3%,0%,18%,0%,34%,26%,4%,7%,19%,1%,9%,61,57,5,23.0,15.8,0/5,14.8,12.3,0/5,(5.9 - 23.7),(3.8 - 20.8),,16.4,15.9,0/3,17.6,17.9,0/3,9.8,22.8,2/5,4.0,3.3,4.7,5/14,3/9,,2/9,3/7,,25,10,3,8.0,2/10,0/3,3.3,3.5,3.7,0,2,1,,0/2,1/1,0,0,0,,,,,4.5,5.0
"INFERTILITY SOLUTIONS, P.C.",ALLENTOWN,PENNSYLVANIA,Yes,Yes,No,No,No,100%,0%,0%,24%,0%,11%,1%,0%,32%,35%,14%,7%,29,18,7,10.3,3/18,0/7,10.3,1/18,0/7,(0.0 - 21.4),,,10.3,1/18,0/7,12.5,1/18,0/6,0.0,0/18,0/7,3.5,4.1,2.2,1/3,0/3,,1/3,0/1,,10,7,1,0/10,0/7,0/1,2.7,2.7,3.0,0,0,0,,,,0,0,0,,,,,,
ADVANCED FERTILITY INSTITUTE,BETHLEHEM,PENNSYLVANIA,Yes,Yes,Yes,No,No,2%,93%,5%,0%,0%,22%,34%,0%,24%,1%,19%,0%,17,21,4,5/17,23.8,0/4,3/17,14.3,0/4,,(0.0 - 29.3),,3/15,3/15,0/3,3/14,3/14,0/2,2/17,28.6,1/4,5.1,4.3,2.0,3/5,3/5,,2/3,2/3,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
JEFFERSON CENTER FOR WOMEN'S MEDICAL SPECIALTIES,PHILADELPHIA,PENNSYLVANIA,Yes,Yes,No,No,No,98%,1%,1%,9%,0%,62%,13%,0%,5%,13%,0%,7%,44,39,8,18.2,10.3,1/8,11.4,10.3,1/8,(2.0 - 20.7),(0.7 - 19.8),,11.9,12.1,1/5,13.2,12.5,1/5,4.5,15.4,3/8,5.9,4.4,3.6,5/8,4/4,0/1,3/5,3/4,0/1,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
PENNSYLVANIA REPRODUCTIVE ASSOCIATES,PHILADELPHIA,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,79%,21%,0%,18%,0%,33%,11%,0%,12%,22%,22%,0%,257,189,72,23.7,20.6,11.1,19.1,14.8,5.6,(14.3 - 23.9),(9.8 - 19.9),(0.3 - 10.8),24.7,20.4,7.7,25.4,21.1,8.2,23.0,27.5,27.8,2.9,3.1,3.5,29.5,20.5,0/8,34.7,17.9,0/4,3,10,3,0/3,1/10,0/3,1.0,1.5,2.0,6,11,22,4/6,2/11,36.4,0,0,0,,,,3.5,3.0,3.2
ALLEGHENY GENERAL HOSPITAL  IVF PROGRAM,PITTSBURGH,PENNSYLVANIA,Yes,Yes,No,Yes,No,100%,0%,0%,24%,0%,18%,12%,0%,28%,15%,26%,1%,62,38,13,8.1,15.8,2/13,6.5,7.9,2/13,(0.3 - 12.6),(0.0 - 16.5),,6.6,8.8,2/13,9.8,10.0,2/10,1.6,10.5,0/13,3.9,3.3,3.9,3/5,2/6,0/2,3/4,1/3,0/2,37,15,10,10.8,2/15,2/10,3.9,4.0,3.1,0,1,4,,1/1,1/4,0,2,0,,0/2,,,3.7,4.0
MAGEE WOMEN'S HOSPITAL IVF,PITTSBURGH,PENNSYLVANIA,Yes,Yes,No,Yes,No,90%,10%,0%,27%,0%,32%,15%,0%,15%,20%,14%,4%,111,85,25,14.4,9.4,4.0,12.6,5.9,4.0,(6.4 - 18.8),(0.9 - 10.9),(0.0 - 11.7),13.2,6.7,1/15,13.9,7.2,1/14,4.5,11.8,40.0,4.0,3.8,3.7,6/16,1/8,0/1,6/14,0/5,0/1,7,1,1,0/7,0/1,0/1,3.1,2.0,2.0,3,4,2,0/3,0/4,0/2,0,0,0,,,,4.0,4.5,3.0
FAMILY FERTILITY CENTER,BETHLEHEM,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,19%,0%,34%,12%,6%,6%,15%,27%,0%,12,8,7,3/12,2/8,1/7,3/12,2/8,0/7,,,,3/12,2/7,0/7,3/11,2/6,0/7,0/12,1/8,0/7,3.8,3.7,2.9,2/3,1/2,0/1,2/3,0/2,,1,0,0,0/1,,,3.0,,,0,0,3,,,1/3,0,0,0,,,,,,5.0
PENN STATE GEISINGER HEALTH SYSTEM,HERSHEY,PENNSYLVANIA,Yes,No,No,Yes,No,99%,1%,0%,15%,0%,28%,19%,3%,17%,5%,17%,11%,56,31,6,16.1,22.6,1/6,12.5,16.1,0/6,(3.8 - 21.2),(3.2 - 29.1),,15.6,20.0,0/6,22.6,5/19,0/5,19.6,19.4,0/6,2.6,3.0,2.2,3/9,2/7,0/1,3/7,1/5,,32,15,1,18.8,1/15,0/1,2.9,2.4,1.0,1,3,4,0/1,0/3,1/4,1,2,1,0/1,0/2,0/1,3.5,3.0,2.8
HOSPITAL SAN PABLO REPRODUCTIVE ENDOCRINOLOGY/INFERTILITY,BAYAMON,PUERTO RICO,Yes,No,No,Yes,Yes,100%,0%,0%,23%,0%,40%,15%,1%,10%,22%,12%,0%,47,45,17,31.9,22.2,1/17,19.1,8.9,0/17,(7.9 - 30.4),(0.6 - 17.2),,19.1,9.1,0/14,20.0,10.5,0/13,0.0,2.2,3/17,4.9,5.1,3.7,8/15,3/10,0/1,3/9,1/4,,4,3,0,1/4,0/3,,5.3,6.0,,4,5,4,1/4,2/5,2/4,0,0,0,,,,6.8,4.4,4.5
CENTRO DE FERTILIDAD DEL CARIBE,RIO PIEDRAS,PUERTO RICO,Yes,No,No,No,No,100%,0%,0%,24%,0%,27%,14%,21%,8%,27%,3%,0%,48,34,18,54.2,44.1,5/18,41.7,29.4,3/18,(27.7 - 55.6),(14.1 - 44.7),,47.6,33.3,3/18,48.8,41.7,3/17,12.5,11.8,0/18,2.1,2.0,2.4,42.3,6/15,0/5,45.0,5/10,0/3,1,0,1,0/1,,0/1,2.0,,2.0,0,0,0,,,,0,0,0,,,,,,
"SOUTHEASTERN FERTILITY CENTER, P.A.",MOUNT PLEASANT,SOUTH CAROLINA,Yes,Yes,No,Yes,No,83%,15%,2%,18%,0%,41%,11%,3%,19%,13%,0%,13%,122,78,20,31.1,20.5,5.0,29.5,19.2,5.0,(21.4 - 37.6),(10.5 - 28.0),(0.0 - 14.6),35.0,24.6,1/14,35.6,25.4,1/14,15.6,21.8,30.0,3.8,4.4,4.5,44.7,8/16,0/1,44.4,7/15,0/1,5,1,4,0/5,0/1,0/4,2.4,5.0,2.5,1,2,10,0/1,1/2,3/10,0,0,0,,,,3.0,4.0,4.5
CENTER FOR WOMEN'S MEDICINE,GREENVILLE,SOUTH CAROLINA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,25%,0%,35%,30%,2%,9%,15%,7%,2%,40,28,3,20.0,28.6,0/3,17.5,17.9,0/3,(5.7 - 29.3),(3.7 - 32.0),,20.0,20.8,0/3,21.2,20.8,0/2,12.5,14.3,0/3,3.9,4.0,4.0,4/8,3/8,,4/7,3/5,,12,6,0,5/12,2/6,,3.2,3.2,,1,2,2,0/1,0/2,1/2,1,0,4,0/1,,1/4,3.0,3.5,4.0
UNIVERSITY PHYSICIANS FERTILITY SPECIALISTS,SIOUX FALLS,SOUTH DAKOTA,Yes,Yes,No,No,No,100%,0%,0%,0%,0%,68%,9%,0%,21%,2%,0%,0%,18,16,1,2/18,4/16,0/1,2/18,4/16,0/1,,,,2/15,4/9,0/1,2/11,4/8,0/1,3/18,7/16,0/1,3.6,4.1,4.0,1/2,3/4,,1/2,2/4,,6,2,0,2/6,0/2,,3.8,3.5,,0,0,0,,,,0,0,0,,,,,,
CENTER FOR ASSISTED REPRODUCTION,NASHVILLE,TENNESSEE,Yes,No,Yes,Yes,Yes,99%,1%,0%,42%,0%,38%,19%,2%,6%,26%,7%,2%,122,112,20,52.5,31.3,10.0,45.9,25.9,10.0,(37.1 - 54.7),(17.8 - 34.0),(0.0 - 23.1),51.9,33.0,2/13,52.8,34.1,2/12,11.5,21.4,35.0,3.7,3.8,3.3,42.2,40.0,0/2,37.5,44.8,0/2,25,13,5,20.0,4/13,0/5,3.2,3.3,2.8,2,9,6,2/2,6/9,4/6,0,1,2,,0/1,1/2,3.0,3.2,3.6
APPALACHIAN FERTILITY & ENDOCRINOLOGY,KINGSPORT,TENNESSEE,Yes,Yes,Yes,Yes,Yes,63%,22%,15%,9%,0%,45%,13%,0%,37%,3%,2%,0%,18,27,1,4/18,22.2,0/1,4/18,11.1,0/1,,(0.0 - 23.0),,4/16,3/17,0/1,4/15,3/17,0/1,2/18,37.0,0/1,5.1,4.4,8.0,1/4,1/6,,1/4,1/3,,4,3,0,0/4,0/3,,2.5,3.0,,0,3,2,,0/3,0/2,0,0,0,,,,,5.3,5.0
UNIVERSITY OF TENNESSEE FERTILITY CENTER,KNOXVILLE,TENNESSEE,Yes,No,No,Yes,No,28%,36%,36%,29%,0%,21%,27%,0%,23%,23%,6%,0%,38,19,12,47.4,2/19,1/12,42.1,2/19,0/12,(26.4 - 57.8),,,50.0,2/16,0/11,50.0,2/15,0/11,15.8,3/19,1/12,4.1,4.5,3.4,8/18,0/2,0/1,5/16,0/2,,4,4,0,0/4,0/4,,2.0,2.5,,0,0,2,,,0/2,0,0,0,,,,,,4.0
"UNIVERSITY OB/GYN ASSOCIATES, INC.",CHATTANOOGA,TENNESSEE,Yes,No,No,No,No,94%,3%,3%,0%,0%,24%,42%,0%,7%,7%,0%,20%,21,15,0,38.1,2/15,,28.6,1/15,,(9.2 - 47.9),,,28.6,1/15,,30.0,1/14,,0.0,0/15,,3.5,3.7,,2/8,0/2,,2/6,0/1,,6,4,0,1/6,1/4,,3.3,3.8,,0,0,0,,,,0,0,0,,,,,,
NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE,HOUSTON,TEXAS,No,No,No,No,No,100%,0%,0%,19%,0%,61%,14%,0%,7%,14%,0%,4%,9,9,3,3/9,2/9,0/3,2/9,2/9,0/3,,,,2/8,2/8,0/2,2/7,2/8,0/2,1/9,1/9,1/3,3.9,4.1,5.0,1/3,0/2,,1/2,0/2,,4,1,1,0/4,0/1,0/1,3.3,4.0,6.0,0,0,0,,,,0,0,0,,,,,,
TEXAS TECH UNIVERSITY HEALTH SCIENCE CENTER,LUBBOCK,TEXAS,Yes,Yes,No,No,No,93%,7%,0%,7%,0%,51%,9%,9%,9%,13%,0%,9%,9,5,1,4/9,3/5,0/1,4/9,3/5,0/1,,,,4/8,3/5,0/1,4/8,3/5,0/1,1/9,0/5,0/1,4.0,3.8,5.0,3/4,1/3,,3/4,1/3,,1,6,0,0/1,0/6,,3.0,4.0,,0,0,0,,,,0,0,0,,,,,,
CENTER OF REPRODUCTIVE MEDICINE,WEBSTER,TEXAS,Yes,No,No,No,No,100%,0%,0%,39%,0%,36%,15%,0%,2%,4%,43%,0%,19,19,6,2/19,3/19,0/6,2/19,3/19,0/6,,,,2/18,3/15,0/4,2/17,3/15,0/3,1/19,4/19,2/6,4.1,4.0,3.7,1/2,1/3,,0/2,1/3,,0,2,0,,0/2,,,2.5,,0,0,0,,,,0,0,0,,,,,,
THE CENTER FOR REPRODUCTIVE HEALTH,NASHVILLE,TENNESSEE,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,31%,0%,25%,26%,0%,28%,19%,0%,2%,32,9,1,28.1,1/9,0/1,15.6,1/9,0/1,(3.0 - 28.2),,,16.7,1/9,0/1,17.2,1/9,0/1,6.3,0/9,0/1,5.6,5.7,6.0,2/9,0/1,,1/5,0/1,,4,2,2,0/4,0/2,0/2,3.0,2.0,3.0,2,1,1,0/2,0/1,0/1,0,2,0,,0/2,,6.0,5.3,2.0
VANDERBILT UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,NASHVILLE,TENNESSEE,Yes,Yes,No,Yes,No,100%,0%,0%,24%,0%,33%,16%,5%,16%,24%,4%,2%,24,14,4,20.8,3/14,0/4,16.7,3/14,0/4,(1.8 - 31.6),,,19.0,3/10,0/3,19.0,3/10,0/3,12.5,4/14,1/4,3.4,3.4,3.0,2/5,0/3,,2/4,0/3,,6,1,1,0/6,0/1,0/1,1.5,2.0,1.0,0,0,1,,,0/1,0,0,0,,,,,,3.0
UNIVERSITY FERTILITY ASSOCIATES,MEMPHIS,TENNESSEE,Yes,No,No,Yes,No,98%,2%,0%,18%,0%,31%,12%,0%,18%,12%,2%,25%,46,36,6,28.3,22.2,3/6,17.4,13.9,3/6,(6.4 - 28.3),(2.6 - 25.2),,20.5,17.2,3/3,21.1,17.9,3/3,15.2,19.4,3/6,5.0,4.9,4.7,3/13,3/8,1/3,2/8,3/5,1/3,9,9,2,1/9,0/9,0/2,4.9,3.9,5.0,1,2,1,0/1,1/2,0/1,0,1,1,,0/1,1/1,2.0,4.3,6.0
UNIVERSITY OF TEXAS SOUTHWESTERN FERTILITY ASSOCIATES,DALLAS,TEXAS,Yes,Yes,No,Yes,No,88%,12%,0%,15%,0%,27%,10%,0%,19%,22%,22%,0%,91,57,15,33.0,35.1,1/15,26.4,24.6,1/15,(17.3 - 35.4),(13.4 - 35.7),,31.6,31.8,1/9,32.4,31.8,1/8,16.5,22.8,6/15,4.1,3.8,3.4,43.3,35.0,1/1,45.8,5/14,1/1,4,1,3,0/4,0/1,0/3,3.3,3.0,3.3,4,4,19,2/4,3/4,10/19,0,0,0,,,,4.3,4.3,3.9
OB & GYN ASSOCIATES  ART PROGRAM,HOUSTON,TEXAS,Yes,Yes,No,Yes,No,99%,1%,0%,43%,0%,46%,14%,0%,6%,28%,5%,1%,165,131,59,25.5,14.5,15.3,20.0,10.7,11.9,(13.9 - 26.1),(5.4 - 16.0),(3.6 - 20.1),22.0,12.8,15.2,22.4,13.0,15.6,9.1,16.8,22.0,3.9,4.1,3.9,33.3,4/19,2/9,36.4,2/14,0/7,76,41,23,11.8,12.2,30.4,3.3,2.9,3.0,2,5,13,2/2,0/5,3/13,2,1,0,0/2,0/1,,2.8,3.8,3.9
CENTER FOR REPRODUCTION AT GRAMERCY,HOUSTON,TEXAS,Yes,No,No,Yes,No,100%,0%,0%,29%,0%,34%,22%,21%,14%,6%,0%,3%,16,22,4,6/16,27.3,0/4,5/16,22.7,0/4,,(5.2 - 40.2),,5/15,5/17,0/2,5/15,5/17,0/2,1/16,22.7,2/4,3.9,3.9,3.0,2/6,3/6,,2/5,3/5,,3,9,1,2/3,1/9,1/1,3.3,3.4,2.0,1,0,3,1/1,,0/3,0,0,3,,,0/3,4.0,,4.5
BAYLOR ASSISTED REPRODUCTIVE TECHNOLOGY,HOUSTON,TEXAS,Yes,Yes,No,Yes,No,100%,0%,0%,44%,0%,29%,9%,0%,7%,40%,8%,7%,85,59,26,51.8,32.2,15.4,45.9,23.7,7.7,(35.3 - 56.5),(12.9 - 34.6),(0.0 - 17.9),47.6,24.6,8.0,48.8,26.4,8.3,3.5,3.4,3.8,4.8,4.6,3.5,52.3,5/19,1/4,53.8,3/14,1/2,6,8,3,1/6,0/8,0/3,4.3,2.6,3.0,2,4,9,1/2,3/4,2/9,0,0,0,,,,5.5,4.8,4.7
DALLAS IN VITRO ASSOCIATES,DALLAS,TEXAS,Yes,No,No,No,No,95%,3%,2%,21%,0%,35%,4%,1%,23%,14%,1%,22%,61,44,22,36.1,25.0,9.1,36.1,22.7,9.1,(24.0 - 48.1),(10.3 - 35.1),(0.0 - 21.1),38.6,34.5,2/10,40.7,41.7,2/9,6.6,34.1,54.5,3.4,3.3,3.4,50.0,1/11,0/2,36.4,1/10,0/2,10,2,3,2/10,1/2,0/3,2.9,2.5,5.0,0,0,0,,,,0,0,0,,,,,,
"VAUGHN, SILVERBERG & ASSOCIATES",AUSTIN,TEXAS,Yes,No,No,No,No,90%,<1%,9%,11%,0%,37%,15%,1%,19%,18%,8%,2%,76,63,41,30.3,33.3,7.3,26.3,28.6,4.9,(16.4 - 36.2),(17.4 - 39.7),(0.0 - 11.5),29.4,37.5,8.0,31.3,39.1,8.7,10.5,23.8,39.0,3.8,4.4,4.8,65.2,33.3,1/3,60.0,4/18,0/2,38,11,13,10.5,0/11,1/13,3.0,2.8,2.9,0,0,0,,,,0,0,0,,,,,,
BAYLOR CENTER FOR REPRODUCTIVE HEALTH,DALLAS,TEXAS,Yes,No,No,No,No,100%,0%,0%,55%,0%,24%,14%,0%,16%,21%,25%,0%,61,59,23,41.0,35.6,13.0,34.4,25.4,8.7,(22.5 - 46.3),(14.3 - 36.5),(0.0 - 20.2),36.8,28.3,10.0,38.9,31.3,2/18,6.6,10.2,13.0,3.5,3.7,3.1,36.0,38.1,0/3,38.1,6/15,0/2,9,11,3,2/9,4/11,0/3,3.1,3.6,3.3,0,0,0,,,,0,0,0,,,,,,
WILFORD HALL MEDICAL CENTER,LACKLAND AFB,TEXAS,Yes,No,No,No,No,100%,0%,0%,14%,0%,57%,20%,0%,0%,9%,3%,11%,21,10,4,47.6,5/10,1/4,42.9,4/10,1/4,(21.7 - 64.0),,,45.0,4/9,1/3,45.0,4/9,1/3,4.8,1/10,1/4,3.2,3.4,4.0,6/10,2/5,0/1,6/9,1/4,0/1,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
