PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
METROHEALTH MEDICAL CENTER,CLEVELAND,CLEVELAND,OHIO,Yes,Yes,No,No,No,100%,0%,0%,0%,41%,0%,16%,24%,24%,28%,0%,8%,0%,14,7,0,1,3/14,2/7,,0/1,3/14,2/7,,0/1,,,,,3/10,2/6,,,3/10,2/6,,,4/14,1/7,,1/1,2.4,2.5,,,2/3,0/2,,,0/3,0/2,,,1/3,0/2,,,2,0,0,0,0/2,,,,2.5,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
OHIO REPRODUCTIVE MEDICINE,COLUMBUS,COLUMBUS,OHIO,Yes,Yes,Yes,Yes,No,85%,15%,0%,<1%,25%,0%,27%,20%,5%,19%,29%,<1%,0%,145,70,51,23,26.9,44.3,15.7,8.7,22.8,34.3,13.7,4.3,(15.9 - 29.6),(23.2 - 45.4),(4.3 - 23.2),(0.0 - 12.7),24.4,36.9,19.4,1/15,25.0,38.1,20.6,1/13,6.9,7.1,29.4,34.8,3.5,4.0,3.3,2.8,43.6,29.0,1/8,0/2,12.8,16.1,0/8,0/2,48.5,33.3,0/7,0/1,35,11,9,8,28.6,1/11,0/9,0/8,3.0,3.6,2.8,2.8,2,2,3,4,1/2,0/2,0/3,1/4,0,0,0,0,,,,,3.0,4.5,2.7,4.0
UNIVERSITY FERTILITY INSTITUTE,COLUMBUS,COLUMBUS,OHIO,Yes,Yes,No,No,No,72%,23%,3%,2%,31%,2%,30%,13%,2%,11%,1%,16%,27%,56,21,20,14,23.2,23.8,10.0,1/14,19.6,19.0,5.0,1/14,(9.2 - 30.0),(2.3 - 35.8),(0.0 - 14.6),,24.4,4/16,1/14,1/7,26.8,4/16,1/11,1/6,19.6,23.8,30.0,7/14,3.5,3.1,3.6,3.7,6/13,1/5,0/2,0/1,1/13,0/5,0/2,0/1,6/11,1/4,0/1,0/1,7,1,2,1,0/7,0/1,1/2,0/1,2.1,2.0,3.0,3.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
MIAMI VALLEY HOSPITAL FERTILITY CENTER,DAYTON,DAYTON,OHIO,Yes,Yes,No,Yes,Yes,91%,3%,1%,5%,38%,0%,35%,12%,2%,22%,25%,3%,1%,33,16,14,3,9.1,5/16,1/14,0/3,9.1,4/16,1/14,0/3,(0.0 - 18.9),,,,10.0,4/15,1/10,0/1,11.5,4/14,1/8,0/1,9.1,1/16,4/14,2/3,2.9,2.5,2.8,2.0,1/3,1/5,0/1,,0/3,0/5,0/1,,1/3,1/4,0/1,,10,5,1,1,2/10,0/5,0/1,0/1,2.8,2.0,9.0,3.0,1,0,3,3,0/1,,1/3,2/3,0,0,0,2,,,,0/2,4.0,,3.7,2.8
FERTILITY CENTER OF NORTHWEST OHIO,TOLEDO,TOLEDO,OHIO,Yes,Yes,No,Yes,No,100%,0%,0%,0%,47%,0%,40%,8%,0%,29%,9%,7%,7%,73,22,10,4,27.4,54.5,3/10,0/4,24.7,54.5,3/10,0/4,(14.8 - 34.5),(33.7 - 75.4),,,28.6,60.0,3/10,0/4,29.0,12/18,3/9,0/3,13.7,9.1,0/10,0/4,2.6,3.2,3.2,3.0,35.0,7/12,0/3,,5.0,0/12,0/3,,6/18,6/12,0/3,,23,4,2,4,4.3,1/4,1/2,0/4,3.3,2.5,2.5,2.5,1,0,1,3,1/1,,0/1,1/3,0,0,0,0,,,,,4.0,,3.0,2.7
CENTER FOR REPRODUCTIVE HEALTH,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA,Yes,No,No,Yes,No,100%,0%,0%,0%,44%,0%,33%,2%,2%,35%,13%,5%,10%,19,5,0,1,8/19,0/5,,0/1,8/19,0/5,,0/1,,,,,8/18,0/4,,,8/18,0/4,,,1/19,1/5,,1/1,3.3,3.5,,,2/8,,,,1/8,,,,3/8,,,,5,6,0,0,1/5,1/6,,,2.2,2.7,,,1,0,1,0,1/1,,0/1,,0,0,1,0,,,1/1,,3.0,,3.0,
"HENRY G. BENNETT, JR., FERTILITY INSTITUTE",OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA,Yes,No,No,Yes,No,87%,4%,0%,9%,21%,0%,43%,5%,0%,15%,33%,0%,4%,64,29,20,2,45.3,31.0,20.0,0/2,35.9,20.7,15.0,0/2,(24.2 - 47.7),(5.9 - 35.4),(0.0 - 30.6),,37.7,27.3,3/18,0/1,37.7,30.0,3/17,0/1,4.7,24.1,10.0,1/2,3.8,3.7,2.9,3.0,31.0,1/9,1/4,,13.8,1/9,0/4,,47.8,2/6,1/3,,11,5,3,1,1/11,1/5,1/3,1/1,3.5,3.4,3.3,6.0,2,1,3,4,0/2,0/1,2/3,3/4,0,0,0,1,,,,0/1,2.5,3.0,4.0,4.2
TULSA CENTER FOR FERTILITY & WOMEN'S HEALTH,TULSA,TULSA,OKLAHOMA,Yes,No,No,Yes,No,99%,0%,0%,1%,25%,0%,32%,9%,0%,28%,16%,15%,0%,60,30,22,4,55.0,26.7,50.0,1/4,50.0,20.0,45.5,1/4,(37.3 - 62.7),(5.7 - 34.3),(24.6 - 66.3),,55.6,26.1,47.6,1/3,56.6,30.0,47.6,1/3,10.0,23.3,4.5,1/4,3.1,3.5,3.6,3.3,27.3,4/8,1/11,0/1,12.1,0/8,2/11,0/1,36.7,2/6,2/10,0/1,5,2,0,0,0/5,1/2,,,2.4,3.0,,,0,0,0,1,,,,0/1,0,0,0,1,,,,1/1,,,,3.0
NORTHWEST FERTILITY CENTER,PORTLAND,PORTLAND,OREGON,Yes,Yes,Yes,Yes,No,99%,0%,0%,1%,38%,0%,21%,15%,1%,22%,8%,34%,0%,30,14,17,7,53.3,6/14,6/17,1/7,46.7,6/14,4/17,1/7,(28.8 - 64.5),,,,48.3,6/11,4/15,1/7,48.3,6/11,4/15,1/7,3.3,3/14,2/17,0/7,4.3,4.4,4.2,5.7,5/16,2/6,1/6,0/1,2/16,1/6,0/6,0/1,5/14,2/6,1/4,0/1,12,3,7,0,0/12,1/3,1/7,,4.2,3.3,4.3,,1,2,3,14,0/1,1/2,2/3,5/14,9,12,4,24,0/9,1/12,0/4,25.0,3.9,3.2,3.3,3.7
"INFERTILITY SOLUTIONS, P.C.",ALLENTOWN,ALLENTOWN,PENNSYLVANIA,Yes,Yes,Yes,No,No,100%,0%,0%,0%,35%,0%,19%,3%,0%,29%,39%,6%,4%,35,14,12,5,31.4,2/14,1/12,0/5,20.0,2/14,1/12,0/5,(6.7 - 33.3),,,,21.9,2/11,1/11,0/3,25.9,2/9,1/11,0/2,8.6,3/14,1/12,2/5,3.9,3.9,3.7,3.0,2/11,0/2,0/1,,3/11,0/2,1/1,,4/7,0/2,1/1,,15,11,4,0,3/15,0/11,0/4,,3.5,3.0,3.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"REPROTECH, INC.",ALLENTOWN,ALLENTOWN,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,92%,0%,8%,0%,0%,0%,22%,6%,5%,0%,33%,6%,33%,2,6,4,0,1/2,1/6,1/4,,1/2,0/6,1/4,,,,,,1/2,0/4,1/4,,1/2,0/4,1/4,,0/2,2/6,0/4,,4.0,3.8,2.3,,1/1,0/1,0/1,,0/1,0/1,0/1,,1/1,,0/1,,1,0,1,0,0/1,,0/1,,2.0,,3.0,,0,2,0,0,,1/2,,,0,0,0,0,,,,,,1.0,,
FAMILY FERTILITY CENTER,BETHLEHEM,BETHLEHEM,PENNSYLVANIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,26%,0%,53%,0%,0%,29%,16%,2%,0%,18,5,6,6,2/18,2/5,2/6,2/6,2/18,1/5,2/6,0/6,,,,,2/16,1/4,2/6,0/6,2/14,1/4,2/6,0/6,2/18,1/5,0/6,0/6,3.7,3.3,3.7,3.7,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/1,0/2,,1,0,0,0,0/1,,,,3.0,,,,0,1,0,1,,1/1,,0/1,0,0,0,0,,,,,,5.0,,4.0
GEISINGER MEDICAL CENTER FERTILITY PROGRAM,DANVILLE,DANVILLE,PENNSYLVANIA,Yes,Yes,No,Yes,No,95%,5%,0%,0%,27%,0%,34%,8%,0%,25%,3%,3%,27%,26,12,3,0,46.2,1/12,0/3,,38.5,1/12,0/3,,(19.8 - 57.2),,,,43.5,1/8,0/2,,45.5,1/8,0/1,,11.5,4/12,1/3,,3.8,3.4,4.0,,1/12,1/1,,,1/12,0/1,,,2/10,1/1,,,9,2,1,0,3/9,1/2,0/1,,3.1,3.5,4.0,,0,0,2,5,,,1/2,1/5,1,0,1,4,0/1,,0/1,0/4,4.0,,2.7,3.6
"JENKINTOWN REPRODUCTIVE ENDOCRINE & GYNECOLOGY ASSOCIATES, P.C.",JENKINTOWN,JENKINTOWN,PENNSYLVANIA,Yes,Yes,No,Yes,Yes,94%,0%,0%,6%,6%,0%,28%,4%,0%,4%,60%,0%,4%,4,7,4,1,0/4,3/7,1/4,0/1,0/4,2/7,0/4,0/1,,,,,0/4,2/7,0/4,0/1,0/3,2/7,0/4,0/1,0/4,0/7,0/4,0/1,3.3,5.1,3.0,5.0,,0/3,0/1,,,1/3,0/1,,,0/2,,,1,3,0,0,1/1,0/3,,,5.0,4.7,,,2,2,2,1,0/2,0/2,0/2,1/1,0,0,0,0,,,,,4.5,2.0,3.5,5.0
PENNSYLVANIA REPRODUCTIVE ASSOCIATES,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,81%,19%,0%,<1%,26%,0%,26%,9%,1%,27%,12%,25%,0%,264,134,120,21,24.2,23.9,10.0,23.8,23.5,20.1,10.0,9.5,(18.4 - 28.6),(13.4 - 26.9),(4.6 - 15.4),(0.0 - 22.1),28.3,24.3,14.8,2/17,33.2,28.1,17.6,2/16,17.0,17.2,32.5,19.0,2.9,3.2,3.6,4.8,32.8,28.1,7/12,0/5,14.1,9.4,0/12,0/5,37.1,25.9,5/12,0/2,8,2,1,2,1/8,0/2,0/1,1/2,2.8,2.0,1.0,3.5,6,4,10,20,2/6,1/4,1/10,35.0,4,2,3,3,2/4,0/2,0/3,1/3,3.0,2.2,2.7,3.0
THOMAS JEFFERSON IVF PROGRAM,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,Yes,Yes,No,Yes,No,99%,0%,1%,0%,0%,0%,58%,14%,0%,17%,4%,7%,0%,34,20,20,7,14.7,5.0,0.0,1/7,14.7,5.0,0.0,1/7,(2.8 - 26.6),(0.0 - 14.6),,,16.7,1/14,0/17,1/6,16.7,1/13,0/15,1/5,11.8,30.0,,1/7,4.2,4.5,3.8,4.8,2/5,0/1,,0/1,0/5,0/1,,0/1,2/5,0/1,,0/1,0,0,0,0,,,,,,,,,0,0,1,2,,,0/1,0/2,0,0,0,0,,,,,,,2.0,6.5
UNIVERSITY OF PENNSYLVANIA MEDICAL CENTER,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,33%,0%,28%,20%,1%,29%,5%,2%,15%,111,64,48,18,32.4,29.7,14.6,2/18,25.2,25.0,12.5,1/18,(17.1 - 33.3),(14.4 - 35.6),(3.1 - 21.9),,29.8,33.3,16.2,1/14,31.5,34.0,17.6,1/14,15.3,25.0,22.9,4/18,3.1,3.6,3.3,3.1,19.4,7/19,2/7,0/2,8.3,0/19,0/7,0/2,28.6,6/16,2/6,0/1,30,15,18,2,10.0,3/15,0/18,0/2,2.8,3.0,2.4,3.5,0,1,2,0,,1/1,1/2,,0,0,0,0,,,,,,3.0,2.5,
ALLEGHENY GENERAL HOSPITAL IVF PROGRAM,PITTSBURGH,PITTSBURGH,PENNSYLVANIA,Yes,Yes,No,Yes,Yes,98%,1%,0%,1%,27%,0%,18%,13%,0%,12%,29%,28%,<1%,99,31,35,14,24.2,22.6,22.9,0/14,21.2,19.4,22.9,0/14,(13.2 - 29.3),(5.4 - 33.3),(8.9 - 36.8),,22.6,20.0,24.2,0/14,25.0,24.0,29.6,0/13,6.1,3.2,5.7,0/14,4.1,3.9,3.6,3.7,29.2,2/7,0/8,,20.8,0/7,0/8,,47.6,1/6,0/8,,31,13,9,5,9.7,1/13,1/9,0/5,3.6,4.0,3.8,3.8,0,0,1,0,,,0/1,,0,0,0,0,,,,,,,4.0,
THE FERTILITY CENTER AT SAINT CLAIR HOSPITAL,PITTSBURGH,PITTSBURGH,PENNSYLVANIA,Yes,Yes,No,Yes,No,98%,0%,2%,0%,12%,0%,18%,25%,2%,21%,27%,7%,0%,20,5,12,4,40.0,1/5,3/12,0/4,20.0,1/5,2/12,0/4,(2.5 - 37.5),,,,4/19,1/4,2/12,0/3,4/17,1/4,2/11,0/2,5.0,1/5,0/12,1/4,4.3,4.0,4.1,6.5,1/8,0/1,2/3,,1/8,1/1,0/3,,1/4,1/1,2/2,,1,1,0,0,0/1,0/1,,,2.0,3.0,,,0,1,0,0,,0/1,,,0,0,0,0,,,,,,4.0,,
REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY CENTER,UPLAND,UPLAND,PENNSYLVANIA,Yes,Yes,No,Yes,No,84%,0%,0%,16%,30%,0%,23%,20%,10%,19%,6%,3%,19%,49,27,22,6,26.5,33.3,9.1,0/6,22.4,22.2,9.1,0/6,(10.8 - 34.1),(6.5 - 37.9),(0.0 - 21.1),,23.4,24.0,2/17,0/5,33.3,26.1,2/14,0/2,4.1,7.4,22.7,1/6,4.2,3.6,4.5,4.5,3/13,1/9,1/2,,3/13,0/9,0/2,,4/11,1/6,1/2,,15,7,3,2,1/15,1/7,0/3,0/2,4.5,4.6,4.0,3.0,0,0,3,2,,,3/3,2/2,0,0,0,0,,,,,,,4.3,4.5
REPRODUCTIVE SCIENCE INSTITUTE - PHILADELPHIA,WAYNE,WAYNE,PENNSYLVANIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,37%,0%,13%,23%,1%,31%,23%,9%,0%,27,20,16,12,37.0,30.0,2/16,2/12,37.0,25.0,2/16,0/12,(18.8 - 55.3),(6.0 - 44.0),,,40.0,5/19,2/14,0/12,43.5,5/17,2/12,0/12,7.4,5.0,2/16,0/12,4.4,4.5,4.6,5.0,3/10,2/6,1/2,0/2,4/10,0/6,1/2,0/2,7/10,2/5,1/2,,9,2,2,0,2/9,1/2,0/2,,4.3,5.0,2.0,,1,0,1,5,0/1,,0/1,2/5,0,0,0,0,,,,,4.0,,3.0,4.0
DR. PEDRO J. BEAUCHAMP,BAYAMON,BAYAMON,PUERTO RICO,Yes,No,No,Yes,No,100%,0%,0%,0%,40%,0%,38%,13%,1%,31%,13%,4%,0%,59,38,26,20,44.1,34.2,34.6,25.0,32.2,28.9,23.1,15.0,(20.3 - 44.1),(14.5 - 43.4),(6.9 - 39.3),(0.0 - 30.6),33.9,32.4,26.1,3/15,34.5,33.3,28.6,3/14,5.1,10.5,11.5,25.0,6.1,5.8,3.5,3.4,26.9,2/13,2/9,0/5,15.4,3/13,0/9,0/5,7/19,4/11,1/6,0/3,6,1,3,1,0/6,0/1,0/3,0/1,2.7,6.0,3.3,4.0,0,1,0,2,,0/1,,0/2,0,0,0,0,,,,,,1.0,,4.0
WOMEN & INFANTS HOSPITAL IVF PROGRAM,PROVIDENCE,PROVIDENCE,RHODE ISLAND,Yes,Yes,Yes,Yes,No,99%,0%,0%,1%,32%,0%,30%,10%,1%,29%,7%,5%,18%,343,153,111,49,25.9,34.6,19.8,6.1,23.6,26.8,13.5,2.0,(19.1 - 28.1),(19.8 - 33.8),(7.2 - 19.9),(0.0 - 6.0),24.5,28.3,14.6,2.5,25.3,29.5,15.3,2.9,3.5,5.2,7.2,18.4,3.4,3.6,3.7,4.2,38.2,24.5,9.1,1/3,10.1,11.3,13.6,0/3,42.0,36.6,4/15,1/1,49,26,15,15,10.2,15.4,0/15,0/15,4.1,3.5,3.1,3.8,4,1,1,5,1/4,0/1,0/1,1/5,1,0,0,0,1/1,,,,3.8,3.0,4.0,3.4
MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,CHARLESTON,SOUTH CAROLINA,Yes,Yes,No,Yes,Yes,94%,6%,0%,0%,28%,0%,25%,27%,0%,19%,20%,0%,9%,24,12,8,3,12.5,2/12,0/8,0/3,8.3,1/12,0/8,0/3,(0.0 - 19.4),,,,2/18,1/9,0/6,0/3,2/17,1/8,0/5,0/2,25.0,3/12,2/8,0/3,3.6,4.8,6.0,3.0,2/3,2/2,,,0/3,0/2,,,0/2,1/1,,,3,1,0,0,0/3,0/1,,,2.3,3.0,,,0,0,2,4,,,1/2,2/4,0,0,0,0,,,,,,,4.0,4.5
UNIVERSITY OF SOUTH CAROLINA - COLUMBIA,COLUMBIA,COLUMBIA,SOUTH CAROLINA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,37%,0%,24%,0%,0%,35%,31%,0%,10%,18,7,2,0,6/18,1/7,1/2,,6/18,1/7,1/2,,,,,,6/15,1/6,1/1,,6/15,1/6,1/1,,3/18,1/7,1/2,,3.7,3.3,1.0,,2/6,1/1,0/1,,1/6,0/1,0/1,,2/6,1/1,0/1,,1,0,0,0,0/1,,,,1.0,,,,1,0,0,0,0/1,,,,0,0,0,0,,,,,5.0,,,
"SOUTHEASTERN FERTILITY CENTER, P.A.",MOUNT PLEASANT,MOUNT PLEASANT,SOUTH CAROLINA,Yes,Yes,Yes,Yes,Yes,99%,<1%,1%,0%,29%,0%,41%,3%,1%,19%,24%,1%,11%,125,51,46,10,33.6,25.5,15.2,0/10,30.4,15.7,15.2,0/10,(22.3 - 38.5),(5.7 - 25.7),(4.8 - 25.6),,36.5,22.9,24.1,0/7,38.0,26.7,25.9,0/6,16.8,31.4,37.0,3/10,3.7,4.4,4.9,3.8,28.6,4/13,1/7,,14.3,0/13,0/7,,44.7,3/8,0/7,,14,2,0,0,3/14,0/2,,,3.5,3.5,,,3,2,9,23,0/3,0/2,2/9,47.8,0,0,1,3,,,0/1,1/3,3.0,3.5,4.1,3.9
UNIVERSITY PHYSICIANS FERTILITY SPECIALISTS,SIOUX FALLS,SIOUX FALLS,SOUTH DAKOTA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,4%,0%,59%,5%,2%,0%,31%,3%,0%,24,12,9,5,29.2,4/12,1/9,0/5,25.0,4/12,1/9,0/5,(7.7 - 42.3),,,,6/18,4/9,1/7,0/3,6/15,4/9,1/7,0/3,25.0,3/12,2/9,2/5,3.4,4.0,3.0,2.7,3/7,2/4,0/1,,1/7,0/4,0/1,,4/6,2/4,0/1,,12,1,0,0,3/12,0/1,,,3.4,4.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"UNIVERSITY OB/GYN ASSOCIATES, INC.",CHATTANOOGA,CHATTANOOGA,TENNESSEE,Yes,No,No,Yes,No,100%,0%,0%,0%,5%,0%,33%,36%,0%,7%,9%,1%,14%,41,17,0,2,22.0,4/17,,0/2,12.2,3/17,,0/2,(2.2 - 22.2),,,,13.5,3/16,,0/2,17.9,3/15,,0/1,9.8,1/17,,0/2,3.6,3.9,,2.0,1/9,1/4,,,2/9,0/4,,,3/5,1/3,,,12,3,0,0,2/12,0/3,,,2.9,2.3,,,1,0,1,1,0/1,,1/1,0/1,0,0,0,0,,,,,4.0,,4.0,4.0
APPALACHIAN FERTILITY AND ENDOCRINOLOGY CENTER,KINGSPORT,KINGSPORT,TENNESSEE,Yes,Yes,Yes,Yes,Yes,65%,23%,8%,4%,15%,0%,41%,7%,0%,3%,42%,5%,2%,33,4,6,5,18.2,1/4,3/6,0/5,18.2,1/4,3/6,0/5,(5.0 - 31.3),,,,22.2,1/3,3/6,0/5,24.0,1/3,3/6,0/3,18.2,1/4,0/6,0/5,5.1,3.0,3.5,4.0,3/6,0/1,0/3,,1/6,0/1,0/3,,4/6,0/1,0/3,,2,0,2,0,0/2,,0/2,,2.0,,2.5,,3,0,1,1,1/3,,0/1,1/1,0,0,0,0,,,,,3.3,,4.0,3.0
UNIVERSITY OF TENNESSEE FERTILITY CENTER,KNOXVILLE,KNOXVILLE,TENNESSEE,Yes,Yes,No,Yes,No,31%,28%,41%,0%,38%,0%,19%,19%,0%,36%,19%,6%,0%,17,9,6,0,11/17,2/9,1/6,,9/17,2/9,1/6,,,,,,9/16,2/7,1/5,,9/16,2/6,1/5,,1/17,2/9,1/6,,3.6,3.8,3.4,,4/11,1/2,0/1,,0/11,0/2,0/1,,3/9,1/2,0/1,,2,0,1,0,0/2,,0/1,,3.0,,1.0,,0,0,1,0,,,0/1,,0,0,0,0,,,,,,,2.0,
UNIVERSITY FERTILITY ASSOCIATES,MEMPHIS,MEMPHIS,TENNESSEE,Yes,No,No,Yes,Yes,97%,0%,0%,3%,27%,0%,32%,14%,0%,15%,23%,<1%,16%,57,19,20,4,35.1,11/19,25.0,1/4,35.1,9/19,20.0,1/4,(22.7 - 47.5),,(2.5 - 37.5),,40.8,9/16,4/19,1/4,42.6,9/16,4/19,1/4,14.0,3/19,5.0,0/4,3.9,4.1,4.3,5.0,30.0,3/11,2/5,0/1,20.0,0/11,1/5,0/1,45.0,2/9,3/4,0/1,7,4,3,0,4/7,1/4,0/3,,3.4,3.8,3.3,,1,1,2,0,0/1,1/1,0/2,,0,0,2,0,,,1/2,,5.0,5.0,4.5,
THE CENTER FOR REPRODUCTIVE HEALTH,NASHVILLE,NASHVILLE,TENNESSEE,Yes,Yes,No,Yes,No,100%,0%,0%,0%,51%,0%,36%,23%,0%,23%,18%,0%,0%,32,5,2,0,21.9,2/5,0/2,,21.9,2/5,0/2,,(7.6 - 36.2),,,,23.3,2/5,0/1,,24.1,2/5,0/1,,6.3,0/5,1/2,0/0,4.5,5.0,4.0,,1/7,0/2,,,1/7,0/2,,,2/7,0/2,,,3,0,0,0,0/3,,,,4.3,,,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,10.0
NASHVILLE FERTILITY CENTER,NASHVILLE,NASHVILLE,TENNESSEE,Yes,No,Yes,Yes,Yes,98%,<1%,<1%,1%,43%,0%,31%,17%,2%,25%,5%,15%,5%,125,54,42,12,52.8,46.3,16.7,2/12,45.6,33.3,14.3,2/12,(36.9 - 54.3),(20.8 - 45.9),(3.7 - 24.9),,48.7,39.1,16.7,2/12,49.6,40.9,17.6,2/11,6.4,14.8,14.3,0/12,3.6,3.7,3.5,5.6,40.9,28.0,0/7,0/2,12.1,12.0,1/7,0/2,56.1,8/18,1/6,0/2,21,12,6,0,14.3,3/12,0/6,,3.6,3.4,2.5,,0,4,9,24,,2/4,3/9,62.5,0,2,2,1,,0/2,1/2,1/1,,2.8,3.1,3.2
"HAROLD BRUMLEY, M.D.",AUSTIN,AUSTIN,TEXAS,Yes,No,No,No,No,92%,0%,0%,8%,25%,0%,46%,8%,0%,31%,0%,0%,15%,2,5,4,1,1/2,0/5,0/4,0/1,1/2,0/5,0/4,0/1,,,,,1/1,0/3,0/3,0/1,1/1,0/3,0/3,0/1,1/2,2/5,1/4,0/1,2.0,4.0,3.0,9.0,0/1,,,,0/1,,,,0/1,,,,0,1,0,0,,1/1,,,,5.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"JEFFREY YOUNGKIN, M.D.",AUSTIN,AUSTIN,TEXAS,Yes,No,Yes,No,No,100%,0%,0%,0%,18%,0%,33%,27%,0%,9%,9%,6%,15%,13,9,4,2,9/13,2/9,1/4,0/2,8/13,2/9,1/4,0/2,,,,,8/12,2/6,1/4,0/2,8/12,2/6,1/4,0/2,1/13,3/9,0/4,0/2,3.3,4.2,4.5,5.0,2/9,0/2,0/1,,0/9,1/2,0/1,,2/8,1/2,0/1,,2,3,0,0,0/2,1/3,,,3.5,3.3,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
TEXAS FERTILITY CENTER,AUSTIN,AUSTIN,TEXAS,Yes,No,No,No,No,99%,<1%,0%,1%,14%,0%,34%,22%,0%,17%,10%,<1%,17%,84,54,40,47,45.2,46.3,37.5,19.1,36.9,35.2,32.5,6.4,(26.6 - 47.2),(22.4 - 47.9),(18.0 - 47.0),(0.0 - 13.4),40.8,39.6,37.1,8.1,43.1,39.6,40.6,8.3,9.5,11.1,12.5,21.3,3.7,4.0,3.4,4.5,28.9,36.0,2/15,1/9,13.2,16.0,3/15,1/9,35.5,10/19,5/13,2/3,29,10,3,10,27.6,3/10,1/3,1/10,3.4,3.3,2.0,2.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CENTER FOR ASSISTED REPRODUCTION,BEDFORD,BEDFORD,TEXAS,Yes,Yes,Yes,Yes,Yes,99%,0%,<1%,1%,43%,0%,20%,6%,<1%,25%,13%,27%,9%,224,116,65,50,45.5,34.5,26.2,8.0,41.1,28.4,21.5,8.0,(34.6 - 47.5),(20.2 - 36.7),(11.5 - 31.5),(0.5 - 15.5),43.4,31.7,25.5,10.8,44.7,32.7,26.4,10.8,5.4,10.3,15.4,26.0,2.9,3.3,3.3,3.1,42.2,25.0,7/17,1/4,6.9,20.0,2/17,1/4,44.6,42.4,5/14,0/4,44,15,13,5,20.5,0/15,3/13,1/5,3.2,3.0,3.5,3.4,6,4,9,28,4/6,2/4,5/9,53.6,3,4,4,10,0/3,1/4,0/4,2/10,2.8,2.9,3.3,3.0
TRINITY IVF,CARROLLTON,CARROLLTON,TEXAS,Yes,No,No,Yes,No,100%,0%,0%,0%,33%,0%,34%,27%,0%,10%,27%,2%,0%,37,15,22,5,16.2,3/15,13.6,1/5,10.8,3/15,13.6,1/5,(0.8 - 20.8),,(0.0 - 28.0),,13.8,3/14,3/15,1/4,14.8,3/13,3/12,1/3,21.6,1/15,31.8,1/5,3.0,3.6,3.5,5.0,1/6,1/3,0/3,0/1,2/6,1/3,0/3,0/1,3/4,2/3,0/3,0/1,3,1,2,2,1/3,0/1,0/2,0/2,2.7,6.0,3.0,4.5,3,2,1,3,2/3,0/2,1/1,0/3,0,0,0,0,,,,,3.7,3.0,3.0,3.3
