Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
BETHESDA FERTILITY CENTER/INFERTILITY UNIT,CINCINNATI,OHIO,YES,YES,NO,0%,100%,0%,0%,,21%,9%,2%,46%,10%,12%,  109,   38,    7,39.5,23.7,1/7,29.2 (21.3-37.2),35.8,21.1,1/7,26.7 (18.8-34.4),39.4,24.2,1/5,30.4 (21.1-39.8),48.8,32.0,1/4,,13.8,18.4,2/7,3.9,4.1,5.0,22.5,20.0,1/4,13.8,0.0,0/4,9,9,6,2/9,0/9,1/6,3.1,3.2,2.5,3,7,8,2/3,4/7,2/8,4.3,3.6,3.9
CENTER FOR REPRODUCTIVE HEALTH,CINCINNATI,OHIO,YES,YES,YES,0%,100%,0%,0%,12%,32%,8%,8%,24%,20%,8%,   12,    9,    4,2/12,1/9,1/4,,1/12,1/9,1/4,,1/11,1/9,1/4,,1/9,1/6,1/2,,1/12,0/9,0/4,2.9,3.2,3.0,1/9,0/6,0/2,0/9,0/6,0/2,13,17,15,4/13,4/17,5/15,2.5,2.9,3.5,3,5,15,2/3,3/5,7/15,3.0,3.2,3.1
GREATER CINCINNATI INSTITUTE FOR REPRODUCTIVE HEALTH,CINCINNATI,OHIO,YES,YES,NO,6%,99%,1%,0%,21%,31%,30%,1%,12%,20%,6%,  254,  178,   64,25.6,20.8,9.4,20.9 (17.4-24.5),23.2,15.2,4.7,17.0 (13.8-20.2),26.6,18.8,6.7,20.2 (16.4-23.9),27.6,19.6,6.8,21.0 (17.1-24.8),12.6,19.1,29.7,4.5,4.5,4.1,6.1,6.5,2.3,4.7,1.5,0.0,74,30,5,20.3,26.7,2/5,4.2,4.3,5.4,12,16,26,4/12,6/16,34.6,4.2,4.3,4.1
CLEVELAND CLINIC FOUNDATION IVF PROGRAM,CLEVELAND,OHIO,YES,NO,NO,0%,100%,0%,0%,28%,19%,24%,6%,32%,5%,14%,   62,   52,   15,27.4,36.5,2/15,28.1 (20.5-35.7),25.8,17.3,2/15,20.5 (13.5-27.4),28.6,18.8,2/14,22.5 (15.0-30.0),34.0,20.9,2/11,26.4 (17.8-35.1),9.7,7.7,1/15,2.8,3.2,2.8,6.4,4.7,0/11,2.1,0.0,0/11,27,19,1,18.5,3/19,0/1,2.6,2.5,2.0,0,0,0,,,,,,
UNIVERSITY HOSPITAL OF CLEVELAND IVF PROGRAM,CLEVELAND,OHIO,YES,YES,YES,8%,100%,0%,0%,7%,38%,8%,7%,20%,5%,22%,   86,   93,   46,27.9,21.5,13.0,22.9 (17.3-28.5),26.7,16.1,13.0,20.5 (15.1-25.8),29.1,21.7,20.0,24.8 (18.5-31.2),31.1,23.4,21.4,26.0 (19.4-32.6),8.1,21.5,30.4,3.6,3.6,4.0,9.5,6.3,7.1,4.1,0.0,3.6,38,19,10,13.2,4/19,0/10,3.1,3.9,2.6,26,8,19,19.2,2/8,15.0,3.1,3.6,3.6
OHIO REPRODUCTIVE MEDICINE,COLUMBUS,OHIO,YES,YES,YES,0%,74%,22%,4%,6%,45%,21%,17%,13%,1%,3%,   86,   65,   12,37.2,35.4,1/12,31.4 (24.5-38.2),31.4,26.2,1/12,25.4 (18.8-31.9),32.9,27.9,1/10,27.0 (19.9-34.0),33.3,28.3,1/9,27.2 (20.0-34.4),4.7,6.2,2/12,4.0,4.2,3.1,16.0,10.0,0/9,3.7,3.3,0/9,15,14,1,2/15,0/14,1/1,2.9,3.6,2.0,1,1,1,0/1,1/1,0/1,4.0,4.0,4.0
GENETICS AND IVF INSTITUTE OF OHIO,DAYTON,OHIO,YES,YES,YES,0%,100%,0%,0%,6%,20%,6%,23%,43%,8%,0%,   38,   33,    9,26.3,12.1,1/9,18.5 (10.3-26.9),26.3,6.1,1/9,16.3 (8.3-24.3),35.7,7.7,1/8,21.4 (11.6-31.3),35.7,8.7,1/7,22.1 (11.9-32.4),26.3,21.2,1/9,3.7,4.2,2.7,10.7,4.3,1/7,0.0,0.0,0/7,6,6,0,1/6,1/6,,4.0,3.2,,0,0,0,,,,,,
MIAMI VALLEY HOSPITAL FERTILITY CENTER,DAYTON,OHIO,YES,YES,YES,0%,90%,10%,0%,10%,43%,21%,7%,12%,9%,8%,   54,   17,   10,33.3,1/17,2/10,21.1 (12.7-29.4),29.6,1/17,0/10,15.7 (8.9-22.7),33.3,1/11,0/7,18.6 (9.9-27.3),38.1,1/8,0/5,20.7 (11.3-30.2),13.0,6/17,3/10,4.1,3.5,3.4,7.1,0/8,0/5,0.0,0/8,0/5,6,3,4,2/6,0/3,1/4,2.7,2.3,3.8,0,0,2,,,0/2,,,3.5
FERTILITY CENTER OF NORTHWEST OHIO,TOLEDO,OHIO,YES,YES,YES,0%,97%,3%,0%,0%,41%,5%,10%,11%,3%,30%,   38,   18,    7,23.7,4/18,0/7,18.9 (9.6-28.2),13.2,3/18,0/7,12.1 (4.1-20.0),14.7,3/15,0/7,14.0 (4.8-23.1),17.2,3/13,0/4,,7.9,2/18,0/7,2.9,2.9,2.5,10.3,1/13,0/4,3.4,0/13,0/4,12,5,0,1/12,1/5,,2.0,2.8,,0,1,0,,1/1,,,3.0,
CENTER FOR REPRODUCTIVE HEALTH,OKLAHOMA CITY,OKLAHOMA,YES,NO,NO,100%,94%,6%,0%,30%,34%,8%,0%,34%,16%,8%,   26,   20,    4,38.5,40.0,1/4,,26.9,35.0,0/4,,31.8,7/19,0/2,,33.3,7/19,0/1,,15.4,5.0,2/4,3.2,3.2,3.0,9.5,2/19,0/1,9.5,1/19,0/1,9,6,2,1/9,0/6,0/2,3.0,2.7,1.5,0,0,2,,,0/2,,,3.5
"HENRY G. BENNETT, JR., FERTILITY INSTITUTE IVF PROGRAM",OKLAHOMA CITY,OKLAHOMA,YES,NO,NO,<10%,54%,46%,0%,0%,32%,45%,17%,6%,0%,0%,   56,   35,    7,41.1,20.0,1/7,28.7 (19.7-37.6),39.3,11.4,0/7,22.2 (15.2-29.2),41.5,13.3,0/6,23.9 (16.4-31.4),45.8,13.8,0/6,25.6 (17.8-33.5),3.6,14.3,1/7,4.5,4.2,3.5,12.5,0.0,0/6,2.1,3.5,0/6,8,4,3,0/8,1/4,0/3,4.0,4.0,3.0,0,1,2,,1/1,1/2,,4.0,3.5
TULSA CENTER FOR FERTILITY AND WOMEN'S HEALTH,TULSA,OKLAHOMA,YES,NO,NO,0%,100%,0%,0%,20%,27%,10%,0%,27%,27%,9%,   54,   35,    8,33.3,8.6,0/8,18.4 (11.7-25.1),29.6,8.6,0/8,16.7 (10.2-23.2),32.7,12.0,0/6,19.3 (11.8-26.9),35.6,16.0,0/5,22.0 (13.3-30.8),9.3,34.3,2/8,3.2,3.1,3.0,13.3,5.3,0/5,2.2,0.0,0/5,4,3,2,0/4,0/3,0/2,1.8,3.0,2.0,0,0,0,,,,,,
NORTHWEST FERTILITY CENTER,PORTLAND,OREGON,YES,YES,YES,0%,100%,0%,0%,19%,45%,0%,0%,16%,1%,38%,   35,   28,    6,42.9,35.7,0/6,32.6 (22.7-42.5),28.6,35.7,0/6,26.0 (16.6-35.4),33.3,38.5,0/5,29.2 (18.9-39.5),38.5,40.0,0/3,,14.3,7.1,1/6,4.1,4.5,5.0,19.2,4.0,0/3,0.0,8.0,0/3,16,12,2,2/16,1/12,0/2,3.8,4.3,5.0,7,9,12,1/7,3/9,3/12,4.1,3.4,4.6
UNIVERSITY FERTILITY CONSULTANTS,PORTLAND,OREGON,YES,YES,YES,0%,98%,2%,0%,19%,40%,21%,0%,17%,9%,13%,   69,   90,   24,23.2,15.6,8.3,17.8 (12.1-23.4),20.3,10.0,8.3,14.4 (9.1-19.7),28.0,16.4,2/13,21.5 (13.9-29.1),33.3,19.6,2/10,26.0 (17.0-34.9),27.5,38.9,45.8,4.0,4.3,4.0,14.3,6.5,0/10,2.4,0.0,0/10,25,35,6,16.0,14.3,0/6,3.9,4.3,3.0,7,9,14,2/7,3/9,4/14,3.7,3.7,3.6
ABINGTON MEMORIAL HOSPITAL,ABINGTON,PENNSYLVANIA,YES,YES,YES,0%,91%,7%,2%,,20%,21%,1%,16%,10%,32%,  161,   98,   32,31.7,25.5,9.4,25.4 (20.6-30.3),27.3,19.4,3.1,20.1 (15.7-24.5),28.6,20.7,3.6,21.2 (16.6-25.8),29.5,21.6,3.7,22.0 (17.3-26.8),4.4,6.1,12.5,4.7,6.3,4.0,12.8,4.6,0.0,1.3,0.0,0.0,41,22,7,24.4,18.2,1/7,3.8,4.1,2.6,2,3,2,0/2,1/3,0/2,5.5,3.7,5.0
"INFERTILITY  SOLUTIONS, INC.",ALLENTOWN,PENNSYLVANIA,YES,YES,,0%,100%,0%,0%,0%,31%,6%,22%,17%,19%,5%,   20,   15,    1,50.0,4/15,0/1,,50.0,4/15,0/1,,10/19,4/15,0/0,,10/19,4/15,0/0,,5.0,0/15,1/1,3.7,4.0,0.0,4/19,1/15,0/0,0/19,0/15,0/0,6,14,0,0/6,3/14,,3.5,3.7,,0,0,0,,,,,,
REPROTECH IVF PROGRAM,ALLENTOWN,PENNSYLVANIA,YES,YES,YES,<5%,63%,20%,17%,0%,37%,17%,0%,13%,3%,30%,   14,   12,    4,4/14,4/12,1/4,,4/14,2/12,1/4,,4/14,2/12,1/4,,4/11,2/11,1/3,,0/14,0/12,0/4,2.8,4.0,3.3,1/11,1/11,0/3,1/11,1/11,0/3,0,0,0,,,,,,,0,3,2,,0/3,0/2,,2.3,4.0
"REPRODUCTIVE GYNECOLOGISTS, P.C.",BALA CYNWYD,PENNSYLVANIA,YES,YES,YES,0%,93%,7%,0%,7%,33%,16%,16%,17%,1%,17%,   31,   30,    9,25.8,13.3,1/9,18.7 (9.6-27.8),16.1,6.7,1/9,11.8 (4.1-19.5),22.7,9.1,1/5,17.3 (6.2-28.4),5/19,10.0,1/3,,6.5,10.0,4/9,4.3,4.0,3.7,1/19,5.0,0/3,0/19,0.0,0/3,4,2,1,0/4,0/2,0/1,2.8,2.5,2.0,0,0,0,,,,,,
ADVANCED FERTILITY INSTITUTE,BETHLEHEM,PENNSYLVANIA,YES,YES,NO,0%,26%,49%,25%,0%,14%,34%,0%,10%,42%,0%,   40,   23,   14,47.5,26.1,0/14,31.2 (21.6-40.9),40.0,17.4,0/14,24.7 (15.7-53.6),48.5,18.2,0/11,28.8 (19.1-38.6),53.3,19.1,0/8,31.4 (21.2-41.6),17.5,4.4,4/14,4.8,4.2,3.9,30.0,9.5,0/8,10.0,4.8,0/8,1,0,0,0/1,,,2.0,,,0,1,0,,0/1,,,,
FAMILY FERTILITY CENTER,BETHLEHEM,PENNSYLVANIA,YES,YES,YES,0%,100%,0%,0%,12%,41%,15%,0%,24%,9%,11%,   10,   14,   10,3/10,2/14,3/10,24.3 (8.8-39.8),1/10,1/14,1/10,9.0 (0.0-19.4),1/10,1/14,1/9,9.2 (0.0-19.7),1/9,1/14,1/8,9.7 (0.0-20.9),0/10,0/14,1/10,4.3,3.9,3.0,0/9,0/14,0/8,0/9,0/14,0/8,0,0,0,,,,,,,0,0,2,,,0/2,,,5.0
GEISINGER MEDICAL CENTER/FERTILITY CENTER,DANVILLE,PENNSYLVANIA,YES,YES,NO,0%,84%,16%,0%,3%,45%,1%,4%,3%,3%,44%,   37,   15,   17,27.0,4/15,2/17,24.2 (13.4-34.9),18.9,4/15,1/17,19.4 (9.2-29.5),23.3,4/13,1/11,23.4 (11.6-35.3),28.0,4/12,1/11,26.5 (13.6-39.4),18.9,2/15,6/17,3.9,3.2,3.9,8.0,2/12,0/11,8.0,0/12,0/11,5,4,3,1/5,0/4,0/3,3.2,3.0,3.3,0,0,8,,,3/8,,,3.3
PENNSYLVANIA STATE UNIVERSITY ART PROGRAM,HERSHEY,PENNSYLVANIA,YES,NO,NO,0%,97%,0%,3%,8%,22%,29%,1%,4%,34%,10%,   53,   29,   13,28.3,20.7,0/13,20.5 (12.8-28.2),24.5,20.7,0/13,18.7 (11.2-26.2),28.9,27.3,0/5,23.2 (14.1-32.2),37.1,6/18,0/5,29.1 (18.3-39.8),15.1,24.1,8/13,3.4,3.6,3.8,2.9,1/18,0/5,0.0,0/18,0/5,30,6,5,13.0,3/6,0/5,3.3,3.0,2.4,4,5,4,0/4,0/5,0/4,2.0,3.0,2.6
HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PENNSYLVANIA,YES,YES,YES,0%,98%,2%,0%,12%,33%,32%,3%,15%,5%,12%,   88,   77,   30,14.8,7.8,6.6,10.1 (6.0-14.3),12.5,5.2,6.6,8.6 (4.8-12.5),13.4,6.3,3/19,10.4 (5.7-15.2),14.3,6.8,3/17,11.4 (6.2-16.5),6.8,18.2,38.7,4.2,4.2,4.2,6.3,1.7,0/17,0.0,0.0,0/17,15,8,6,1/15,1/8,0/6,3.6,2.9,2.0,3,1,1,0/3,0/1,0/1,4.5,1.0,6.0
PENNSYLVANIA REPRODUCTIVE ASSOCIATES IVF PROGRAM,PHILADELPHIA,PENNSYLVANIA,YES,YES,YES,0%,81%,19%,<1%,21.3,32%,12%,5%,26%,9%,16%,  243,  229,   90,22.6,25.3,11.1,21.5 (18.2-24.9),18.1,17.5,5.6,15.6 (12.7-18.6),20.7,20.8,7.1,18.3 (14.9-21.7),21.5,21.4,7.3,18.9 (15.4-22.4),13.5,18.5,27.5,2.8,3.0,2.8,8.0,10.3,1.8,2.2,1.2,0.0,12,11,6,4/12,3/11,0/6,2.0,2.4,2.3,8,4,24,0/8,1/4,29.2,2.8,2.9,2.8
THOMAS JEFFERSON UNIVERSITY,PHILADELPHIA,PENNSYLVANIA,YES,YES,NO,0%,99%,1%,0%,11%,51%,14%,8%,23%,2%,2%,   61,   50,   14,14.8,10.0,2/14,12.0 (6.9-19.0),11.5,6.0,1/14,8.7 (3.7-13.7),12.5,7.3,1/13,9.8 (4.2-15.3),14.6,8.6,1/12,11.3 (5.0-17.6),8.2,14.0,1/14,4.8,4.3,5.3,10.4,0.0,1/12,0.0,0.0,0/12,0,0,0,,,,,,,1,0,1,0/1,,0/1,6.0,,2.0
ALLEGHENY GENERAL HOSPITAL IVF PROGRAM,PITTSBURGH,PENNSYLVANIA,YES,YES,NO,0%,100%,0%,0%,9%,24%,24%,29%,13%,8%,2%,   53,   41,   25,30.2,7.3,4.0,17.2 (10.7-23.8),22.6,7.3,4.0,13.8 (7.7-19.9),26.1,8.8,1/18,16.2 (9.1-23.2),38.7,14.3,1/7,20.0 (11.2-28.7),9.4,17.1,24.0,3.8,3.7,2.7,9.7,9.5,0/7,6.5,0.0,0/7,25,15,9,20.0,1/15,1/9,4.1,3.3,3.9,0,0,0,,,,,,
FERTILITY CENTER AT ST. CLAIR HOSPITAL,PITTSBURGH,PENNSYLVANIA,YES,YES,YES,0%,77%,18%,5%,9%,9%,41%,18%,27%,0%,5%,    8,   11,    3,2/8,3/11,0/3,,1/8,3/11,0/3,,1/8,3/11,0/3,,1/6,3/10,0/3,,0/8,0/11,0/3,5.8,4.2,5.7,0/6,2/10,0/3,0/6,0/10,0/3,0,0,0,,,,,,,0,0,0,,,,,,
UNIVERSITY WOMEN'S HEALTH CARE ASSOCIATES,PITTSBURGH,PENNSYLVANIA,YES,YES,YES,95%,73%,27%,0%,3%,36%,21%,9%,12%,20%,2%,  115,   77,   23,17.4,10.4,4.4,12.5 (8.2-16.8),17.4,9.1,4.4,12.1 (7.8-16.2),18.7,11.1,1/16,13.7 (8.8-18.6),19.8,13.0,1/16,14.8 (9.6-20.1),7.0,16.9,30.4,4.1,4.1,4.9,2.0,0.0,0/16,2.0,1.9,0/16,3,5,2,0/3,0/5,0/2,1.3,2.4,1.5,3,7,9,0/3,1/7,1/9,2.0,4.0,3.0
REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY,UPLAND,PENNSYLVANIA,YES,YES,NO,0%,100%,0%,0%,31%,39%,12%,0%,18%,27%,4%,   52,   19,    9,19.2,3/19,2/9,18.5 (9.4-27.6),15.4,3/19,1/9,14.8 (6.5-23.1),15.4,3/19,1/9,14.8 (6.5-23.1),16.0,3/16,1/9,16.1 (7.0-25.2),0.0,0/19,0/9,4.4,3.9,4.1,6.0,1/16,0/9,0.0,1/16,0/9,23,2,1,17.4,0/2,1/1,4.0,4.0,11.0,0,1,6,,1/1,2/6,,7.0,6.5
REPRODUCTIVE SCIENCE CENTER OF GREATER PHILADELPHIA,WAYNE,PENNSYLVANIA,YES,YES,YES,35%,97%,2%,1%,35%,22%,26%,1%,25%,22%,4%,   67,   45,   30,17.9,20.0,0.0,15.4 (9.5-21.4),16.4,11.1,0.0,11.6 (6.3-16.8),18.3,13.5,0.0,13.3 (7.3-19.3),19.0,14.7,0/18,14.0 (7.7-20.3),10.5,17.8,30.0,4.7,4.0,3.9,6.9,5.9,0/18,1.7,0.0,0/18,14,4,4,3/14,0/4,0/4,3.6,3.8,3.5,2,0,4,1/2,,0/4,4.0,,4.5
"WOMEN'S CLINIC, LTD.",WEST READING,PENNSYLVANIA,YES,NO,NO,0%,100%,0%,0%,2%,43%,21%,17%,9%,10%,0%,   32,   18,    3,28.1,2/18,0/3,,18.8,0/18,0/3,,20.7,0/13,0/2,,20.7,0/12,0/1,,9.4,5/18,1/3,4.7,4.5,4.0,6.9,0/12,0/1,3.5,0/12,0/1,0,0,0,,,,,,,0,0,0,,,,,,
PEDRO J. BEAUCHAMP REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BAYAMON,PUERTO RICO,YES,NO,NO,0%,100%,0%,0%,,44%,19%,0%,14%,22%,1%,   55,   44,   32,27.3,25.0,9.4,25.0 (17.6-32.5),23.6,9.1,0.0,15.4 (9.3-21.6),27.1,10.8,0.0,17.9 (10.9-24.9),31.0,12.1,0/18,20.3 (12.5-28.0),12.7,15.9,40.6,4.9,5.2,4.1,11.9,3.0,0/18,7.1,0.0,0/18,0,0,0,,,,,,,2,1,7,2/2,1/1,1/7,8.0,7.0,4.7
FERTILITY CENTER OF THE CARIBBEAN,RIO PIEDRAS,PUERTO RICO,YES,YES,YES,0%,100%,0%,0%,15%,36%,20%,1%,24%,9%,10%,   28,   26,   11,57.1,42.3,5/11,49.7 (37.6-61.8),46.4,26.9,3/11,35.9 (24.4-47.4),52.0,29.2,3/10,39.8 (27.6-52.1),54.0,31.8,3/9,42.3 (29.5-55.1),10.7,7.7,1/11,3.4,4.1,4.5,25.0,27.3,1/9,4.2,4.5,0/9,4,1,0,1/4,0/1,,4.0,3.0,,0,0,1,,,0/1,,,2.0
WOMEN AND INFANTS HOSPITAL,PROVIDENCE,RHODE ISLAND,YES,YES,NO,0%,100%,0%,0%,30%,31%,11%,2%,21%,13%,22%,  209,  161,   64,27.8,18.0,4.7,20.1 (16.5-23.6),23.4,15.5,4.7,17.2 (13.8-20.5),24.2,18.1,5.2,18.6 (15.0-22.2),25.1,19.1,5.7,19.4 (15.7-23.2),3.5,14.3,9.4,3.5,3.3,3.4,3.3,5.3,3.8,1.4,0.0,0.0,29,23,12,17.2,8.7,0/12,4.5,3.9,4.0,3,4,3,0/3,1/4,2/3,3.3,3.0,2.7
REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,GREENVILLE,SOUTH CAROLINA,YES,YES,YES,10%,100%,0%,0%,10%,35%,30%,13%,17%,5%,0%,   45,   35,    3,24.4,5.7,0/3,,20.0,5.7,0/3,,21.4,6.3,0/3,,23.7,6.9,0/2,,4.4,8.6,0/3,3.8,3.6,4.5,7.9,3.4,0/2,2.6,0.0,0/2,6,4,1,2/6,1/4,0/1,4.0,4.8,3.0,0,0,2,,,0/2,,,4.0
SOUTHEASTERN FERTILITY CENTER IVF PROGRAM,MOUNT PLEASANT,SOUTH CAROLINA,YES,YES,NO,0%,62%,23%,15%,8%,32%,13%,8%,18%,14%,15%,  109,   51,   24,21.1,19.6,4.2,17.5 (12.1-23.0),20.2,15.7,4.2,15.7 (10.5-20.9),26.5,23.5,1/12,22.2 (14.9-29.5),27.5,25.8,1/11,23.6 (15.8-31.3),23.9,33.3,45.8,4.7,5.5,6.2,8.8,6.5,0/11,1.3,6.5,0/11,6,4,1,0/6,1/4,0/1,6.7,5.5,5.0,0,3,8,,1/3,3/8,,3.7,3.9
UNIVERSITY OF SOUTH DAKOTA SCHOOL OF MEDICINE,SIOUX FALLS,SOUTH DAKOTA,YES,YES,YES,,100%,0%,0%,0%,62%,23%,15%,0%,0%,0%,    5,    8,    0,1/5,2/8,,,1/5,1/8,,,1/3,1/6,,,1/3,1/4,,,2/5,2/8,,3.3,3.5,,1/3,1/4,,0/3,0/4,,0,0,0,,,,,,,0,0,0,,,,,,
CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,CHATTANOOGA,TENNESSEE,YES,NO,NO,0%,53%,47%,0%,0%,37%,21%,26%,11%,0%,5%,   11,    7,    1,4/11,0/7,0/1,,4/11,0/7,0/1,,4/11,0/7,0/1,,4/9,0/6,0/1,,0/11,0/7,0/1,3.8,4.0,1.0,0/9,0/6,0/1,0/9,0/6,0/1,0,0,0,,,,,,,0,0,0,,,,,,
UNIVERSITY WOMEN'S SERVICES,CHATTANOOGA,TENNESSEE,YES,NO,NO,0%,100%,0%,0%,0%,58%,17%,8%,0%,0%,17%,    9,    3,    0,3/9,0/3,,,3/9,0/3,,,3/9,0/3,,,3/9,0/2,,,0/9,0/3,,3.6,2.5,,1/9,0/2,,0/9,0/2,,0,0,0,,,,,,,0,0,0,,,,,,
APPALACHIAN FERTILITY AND ENDOCRINOLOGY CENTER,KINGSPORT,TENNESSEE,YES,YES,YES,50%,65%,25%,10%,10%,33%,20%,0%,10%,37%,0%,   23,   13,    1,43.5,4/13,0/1,,26.1,2/13,0/1,,6/19,2/11,0/1,,6/19,2/11,0/1,,17.4,2/13,0/1,5.0,5.0,1.0,0/19,1/11,0/1,1/19,0/11,0/1,3,4,1,0/3,0/4,0/1,2.0,1.8,1.0,1,0,4,0/1,,2/4,3.0,,4.0
UNIVERSITY OF TENNESSEE-KNOXVILLE IVF PROGRAM,KNOXVILLE,TENNESSEE,YES,NO,NO,0%,28%,38%,34%,38%,5%,32%,14%,35%,14%,0%,   26,   15,    6,69.2,5/15,0/6,43.8 (32.0-55.7),57.7,3/15,0/6,33.7 (22.4-45.1),57.7,3/15,0/6,33.7 (22.4-45.1),65.2,3/14,0/6,37.7 (25.9-49.5),11.5,4/15,0/6,3.9,3.4,3.5,4.3,1/14,0/6,17.4,0/14,0/6,3,0,0,0/3,,,1.7,,,0,0,0,,,,,,
"UNIVERSITY FERTILITY ASSOCIATES OF UT MEDICAL GROUP, INC.",MEMPHIS,TENNESSEE,YES,NO,NO,0%,100%,0%,0%,12%,46%,7%,1%,12%,19%,15%,   61,   26,    7,19.7,23.1,3/7,25.1 (15.2-35.0),18.0,19.2,3/7,22.9 (13.3-32.5),22.9,22.7,3/5,29.9 (18.6-41.2),23.4,23.8,3/5,30.1 (18.8-41.5),22.9,19.2,2/7,5.1,5.3,5.2,2.1,9.5,1/5,2.1,4.8,0/5,9,3,1,1/9,1/3,0/1,5.3,4.0,5.0,2,2,3,0/2,0/2,1/3,3.0,2.0,6.0
CENTER FOR ASSISTED REPRODUCTION,NASHVILLE,TENNESSEE,YES,NO,YES,20%,100%,0%,0%,32%,40%,20%,1%,24%,9%,6%,  120,   68,   19,47.5,33.8,2/19,35.9 (29.6-42.2),39.2,26.5,0/9,27.6 (22.1-33.1),42.7,36.0,0/10,32.6 (26.2-39.0),45.2,37.5,0/19,34.3 (27.7-40.9),8.3,26.5,9/19,3.7,3.6,3.6,13.6,6.3,0/9,1.0,4.2,0/9,14,8,4,4/14,1/8,2/4,3.3,4.1,3.3,6,4,15,3/6,3/4,8/15,3.8,4.0,3.5
VANDERBILT CENTER FOR REPRODUCTIVE MEDICINE,NASHVILLE,TENNESSEE,YES,YES,NO,0%,98%,2%,0%,13%,31%,22%,7%,24%,0%,16%,   23,   15,    7,30.4,1/15,0/7,16.4 (6.6-26.2),21.7,1/15,0/7,12.4 (3.4-21.4),21.7,1/14,0/4,,22.7,1/13,0/4,,0.0,1/15,3/7,3.6,3.1,2.8,9.1,0/13,0/4,4.6,0/13,0/4,4,0,0,0/4,,,2.5,,,0,1,0,,0/1,,,1.0,
COLUMBIA ST. DAVID'S HOSPITAL ART/IVF PROGRAM,AUSTIN,TEXAS,YES,NO,NO,0%,58%,2%,40%,2%,38%,19%,1%,18%,18%,6%,   96,   64,   34,24.0,21.9,23.5,23.2 (17.2-29.1),22.9,18.8,11.8,19.4 (13.9-25.0),26.5,22.2,15.4,23.0 (16.5-29.4),26.8,24.5,15.4,23.9 (17.3-30.6),13.5,15.6,23.5,4.0,4.1,4.5,7.3,4.1,7.7,2.4,0.0,0.0,14,18,4,5/14,2/18,0/4,2.8,3.1,4.5,0,0,0,,,,,,
CENTER FOR ASSISTED REPRODUCTION,BEDFORD,TEXAS,YES,YES,YES,8%,94%,5%,1%,40%,28%,3%,0%,34%,26%,9%,  138,  103,   27,42.8,32.0,25.9,35.9 (30.1-41.7),35.5,23.3,11.1,26.7 (21.6-31.9),36.0,23.5,11.1,27.0 (21.8-32.3),36.8,25.0,13.0,28.3 (22.8-33.8),1.5,1.0,14.8,3.6,3.4,4.7,12.8,5.2,0.0,1.5,2.1,0.0,32,21,3,25.0,4.8,0/3,3.5,3.8,3.0,6,7,23,5/6,4/7,52.2,3.3,3.6,3.7
BAYLOR CENTER FOR REPRODUCTIVE HEALTH,DALLAS,TEXAS,YES,NO,NO,0%,100%,0%,0%,17%,28%,19%,8%,19%,16%,10%,   42,   38,   23,31.0,29.0,4.4,25.4 (17.0-33.8),28.6,26.3,4.4,23.4 (15.2-31.6),31.6,28.6,1/19,25.8 (16.9-34.6),32.4,30.3,1/18,26.8 (17.7-36.0),9.5,7.9,17.4,3.5,3.6,2.6,16.2,3.0,0/18,0.0,0.0,0/18,6,4,0,0/6,0/4,,2.7,2.3,,0,0,0,,,,,,
