PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
REPRODUCTIVE HEALTH AND FERTILITY CENTER AT,ROCKFORD HEALTH SYSTEM,ROCKFORD,IL,100%,<1%,0%,0%,37%,0%,27%,47%,11%,9%,0%,3%,3%,Chiravudh,,Sawetawan,", M.D.",122,32,31,16,40.2,40.6,6.5,1/16,36.1,37.5,6.5,0/16,(27.5 - 44.6),(20.7 - 54.3),(0.0 - 15.1),,37.0,42.9,8.7,0/12,38.6,42.9,2/17,0/10,2.5,12.5,25.8,4/16,3.3,3.1,2.4,2.5,28.6,5/13,0/2,0/1,8.2,0/13,0/2,0/1,36.4,4/12,0/2,,18,7,0,0,0/18,0/7,,,3.2,2.1,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,1/1,,,,3.0,"Reproductive Health and Fertility Center, Fertility and Reproductive Endocrinology Specialists",,Yes,No,Yes,Yes,Yes,Yes,Yes
RUSH NORTH SHORE CENTER FOR ADVANCED REPRODUCTIVE CARE,,SKOKIE,IL,92%,4%,4%,0%,27%,0%,32%,15%,13%,28%,2%,8%,2%,Zvi,,Binor,", M.D.",32,23,20,17,31.3,4.3,15.0,2/17,28.1,0.0,10.0,2/17,(12.5 - 43.7),,(0.0 - 23.1),,33.3,0/18,10.0,2/14,34.6,0/17,2/17,2/12,15.6,21.7,0.0,3/17,3.7,3.2,4.0,3.3,1/10,0/1,1/3,0/2,0/10,0/1,0/3,0/2,0/9,,1/2,0/2,4,1,2,0,0/4,0/1,0/2,,3.3,2.0,4.0,,0,0,0,2,,,,1/2,,,,3.5,0,0,0,0,,,,,,,,,Rush North Shore Center for Advanced Reproductive Care,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
DEPARTMENT OF OBSTETRICS AND GYNECOLOGY,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,SPRINGFIELD,IL,78%,18%,0%,4%,0%,0%,20%,39%,37%,1%,0%,3%,0%,Ponjola,,Coney,", M.D.",28,17,10,1,17.9,0/17,0/10,0/1,14.3,0/17,0/10,0/1,(1.3 - 27.2),,,,14.3,0/17,0/10,0/1,14.8,0/16,0/10,0/1,0.0,0/17,0/10,0/1,5.0,3.0,4.1,1.0,1/5,,,,1/5,,,,1/4,,,,5,1,0,0,0/5,0/1,,,3.8,5.0,,,0,1,1,3,,0/1,0/1,2/3,,3.0,4.0,7.3,0,0,0,0,,,,,,,,,"Department of Obstetrics and Gynecology, Southern Illinois University School of Medicine",,Yes,Yes,Yes,No,Yes,No,No
"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C.",,SPRINGFIELD,IL,95%,0%,0%,5%,60%,0%,24%,33%,25%,8%,1%,2%,7%,Mary Ann,,McRae,", M.D.",41,10,22,5,36.6,2/10,13.6,1/5,31.7,2/10,9.1,1/5,(17.5 - 46.0),,(0.0 - 21.1),,33.3,2/9,2/18,1/4,34.2,2/9,2/15,1/4,4.9,1/10,18.2,1/5,4.0,3.1,3.1,3.0,3/15,2/2,1/3,1/1,2/15,0/2,0/3,0/1,4/13,2/2,1/2,1/1,3,3,0,0,0/3,0/3,,,2.0,5.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Reproductive Endocrinology Associates, S.C.",,No,No,No,No,Yes,Yes,Yes
MIDWEST REPRODUCTIVE MEDICINE: CHAMPAIGN/URBANA,,URBANA,IL,100%,0%,0%,0%,51%,0%,32%,7%,30%,21%,0%,7%,3%,John,C.,Jarrett II,", M.D.",38,11,11,8,28.9,3/11,0/11,0/8,18.4,3/11,0/11,0/8,(6.1 - 30.7),,,,19.4,3/9,0/8,0/7,21.9,3/9,0/8,0/6,5.3,2/11,3/11,1/8,2.8,2.9,2.0,2.8,0/11,1/3,,,1/11,1/3,,,0/7,2/3,,,3,0,2,0,0/3,,1/2,,3.0,,3.5,,0,0,0,0,,,,,,,,,1,0,0,0,0/1,,,,2.0,,,,Midwest Reproductive Medicine: Champaign/Urbana,,No,No,Yes,No,Yes,Yes,No
ASSOCIATED FERTILITY & GYNECOLOGY,,FORT WAYNE,IN,100%,0%,0%,0%,61%,0%,27%,11%,22%,18%,10%,12%,0%,Shelby,O.,Cooper,", M.D.",64,24,13,3,35.9,33.3,0/13,1/3,29.7,29.2,0/13,0/3,(18.5 - 40.9),(11.0 - 47.4),,,32.8,7/18,0/10,0/1,35.2,7/17,0/8,0/1,9.4,25.0,3/13,2/3,3.0,3.2,3.3,2.0,34.8,2/8,,0/1,13.0,2/8,,0/1,8/19,4/7,,,13,3,2,0,3/13,0/3,0/2,,2.6,2.3,1.5,,0,0,0,1,,,,1/1,,,,3.0,0,0,0,0,,,,,,,,,Associated Fertility & Gynecology,,Yes,No,No,No,Yes,Yes,Yes
ADVANCED FERTILITY GROUP,,INDIANAPOLIS,IN,100%,0%,0%,0%,31%,0%,18%,11%,37%,22%,2%,10%,0%,William,L.,Gentry,", M.D.",187,60,48,41,40.1,33.3,10.4,7.3,37.4,28.3,10.4,7.3,(30.5 - 44.4),(16.9 - 39.7),(1.8 - 19.1),(0.0 - 15.3),44.6,36.2,14.3,3/19,45.2,37.8,15.2,3/19,16.0,21.7,27.1,53.7,3.6,3.5,3.4,3.3,37.3,35.0,1/5,2/3,13.3,0.0,0/5,0/3,50.0,5/17,1/5,2/3,23,9,5,7,17.4,2/9,0/5,0/7,2.9,2.6,2.4,2.9,6,2,3,8,3/6,1/2,0/3,4/8,4.0,3.0,4.0,3.4,1,1,2,3,0/1,1/1,0/2,0/3,3.0,4.0,3.5,2.0,Advanced Fertility Group,,Yes,No,Yes,Yes,Yes,Yes,Yes
FAMILY BEGINNINGS,,INDIANAPOLIS,IN,100%,0%,0%,0%,27%,0%,24%,14%,20%,22%,0%,12%,8%,James,G.,Donahue,", M.D.",18,8,10,8,7/18,1/8,1/10,0/8,6/18,0/8,1/10,0/8,,,,,6/14,0/7,1/7,0/7,6/14,0/7,1/7,0/5,4/18,1/8,3/10,1/8,3.4,3.4,3.0,2.8,3/7,0/1,0/1,,0/7,0/1,1/1,,2/6,,1/1,,5,0,0,0,0/5,,,,1.4,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Family Beginnings,,Yes,No,Yes,No,Yes,Yes,Pending
INDIANA UNIVERSITY HOSPITAL,,INDIANAPOLIS,IN,92%,6%,2%,0%,27%,0%,43%,11%,25%,16%,0%,5%,0%,William,W.,Hurd,", M.D.",38,14,7,4,28.9,0/14,2/7,0/4,23.7,0/14,1/7,0/4,(10.2 - 37.2),,,,29.0,0/9,1/5,0/4,29.0,0/9,1/5,0/2,18.4,5/14,2/7,0/4,3.5,4.1,3.4,3.0,1/11,,1/2,,1/11,,0/2,,2/9,,1/1,,4,4,1,1,0/4,0/4,0/1,0/1,3.0,2.8,1.0,4.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Indiana University Hospital,,No,No,No,No,Yes,Yes,Yes
MIDWEST REPRODUCTIVE MEDICINE,,INDIANAPOLIS,IN,94%,2%,4%,<1%,42%,0%,20%,19%,36%,22%,2%,1%,<1%,John,C.,Jarrett II,", M.D.",365,145,120,49,39.2,35.9,26.7,16.3,34.8,28.3,20.0,10.2,(29.9 - 39.7),(20.9 - 35.6),(12.8 - 27.2),(1.7 - 18.7),36.9,33.3,24.0,12.2,37.5,34.5,24.5,14.3,5.8,15.2,16.7,16.3,2.8,2.8,3.0,3.4,32.2,19.2,12.5,2/8,10.5,9.6,3.1,2/8,40.2,24.4,12.5,2/5,165,50,34,8,13.3,26.0,20.6,0/8,2.7,2.7,3.0,2.8,6,2,6,22,2/6,2/2,4/6,31.8,3.0,3.0,3.2,2.9,4,2,1,15,1/4,1/2,0/1,4/15,2.8,2.5,3.0,2.8,Midwest Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES,,INDIANAPOLIS,IN,95%,0%,5%,0%,25%,0%,25%,5%,50%,15%,0%,5%,0%,Donald,L.,Cline,", M.D.",7,7,1,5,2/7,1/7,0/1,0/5,2/7,1/7,0/1,0/5,,,,,2/5,1/6,0/1,0/3,2/4,1/5,0/1,0/3,2/7,1/7,0/1,2/5,2.8,2.4,4.0,3.3,0/2,0/1,,,0/2,0/1,,,0/2,0/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Reproductive Endocrinology Associates,,No,No,No,No,Yes,Yes,Yes
"REPRODUCTIVE SURGERY & MEDICINE, P.C.",,INDIANAPOLIS,IN,70%,16%,0%,14%,22%,0%,23%,2%,21%,44%,0%,10%,0%,David,S.,McLaughlin,", M.D.",32,10,8,1,40.6,3/10,2/8,0/1,37.5,3/10,2/8,0/1,(20.7 - 54.3),,,,50.0,3/9,2/6,0/1,52.2,3/9,2/6,0/1,25.0,1/10,2/8,0/1,3.4,2.8,2.3,1.0,5/13,0/3,0/2,,2/13,0/3,0/2,,7/12,0/3,0/2,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Reproductive Surgery & Medicine, P.C.",,No,No,Yes,No,Yes,Yes,Pending
CENTER FOR ASSISTED REPRODUCTION,,SOUTH BEND,IN,96%,4%,0%,0%,0%,0%,36%,0%,16%,46%,0%,1%,1%,Jan,R.,Reineke,", M.D.",39,12,11,8,33.3,3/12,1/11,1/8,28.2,3/12,1/11,0/8,(14.1 - 42.3),,,,30.6,3/11,1/8,0/6,31.4,3/11,1/8,0/3,7.7,1/12,3/11,2/8,3.1,3.6,2.4,5.0,4/13,1/3,0/1,0/1,1/13,1/3,0/1,0/1,5/11,2/3,0/1,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Center for Assisted Reproduction,,No,No,No,No,No,Yes,Yes
UNIVERSITY OF KANSAS MEDICAL CENTER,WOMEN'S REPRODUCTIVE CENTER,KANSAS CITY,KS,100%,0%,0%,0%,13%,0%,67%,0%,11%,11%,0%,11%,0%,Valerie,C.,Montgomery Rice,", M.D.",3,3,2,0,0/3,0/3,0/2,,0/3,0/3,0/2,,,,,,0/3,,0/2,,0/3,,0/2,,0/3,3/3,0/2,,3.0,,3.0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,1,0,,,0/1,,,,4.0,,0,0,0,0,,,,,,,,,"University of Kansas Medical Center,  Women's Reproductive Center",,Yes,Yes,Yes,No,Yes,Yes,No
REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,,OVERLAND PARK,KS,98%,2%,0%,0%,28%,0%,17%,25%,2%,3%,0%,21%,32%,Rodney,,Lyles,", M.D.",141,76,49,11,53.9,31.6,34.7,4/11,51.1,28.9,22.4,3/11,(42.8 - 59.3),(18.8 - 39.1),(10.8 - 34.1),,60.0,39.3,28.9,3/10,62.6,43.1,29.7,3/9,14.9,26.3,22.4,1/11,2.3,2.4,2.8,3.3,31.6,25.0,3/17,1/4,10.5,8.3,0/17,0/4,40.3,31.8,2/11,1/3,23,6,4,2,13.0,1/6,1/4,0/2,2.2,1.8,2.5,3.0,6,6,3,17,3/6,2/6,0/3,10/17,1.8,2.0,2.7,2.1,1,0,0,1,0/1,,,0/1,2.0,,,3.0,Reproductive Resource Center of Greater Kansas City,,Yes,No,No,No,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & INFERTILITY,SHAWNEE MISSION MEDICAL CENTER,SHAWNEE MISSION,KS,100%,0%,0%,0%,42%,0%,19%,40%,4%,33%,4%,0%,0%,Dan,L.,Stewart,", M.D.",18,3,3,2,6/18,0/3,0/3,1/2,5/18,0/3,0/3,0/2,,,,,5/17,0/1,0/2,0/2,5/17,0/1,0/2,0/1,1/18,2/3,1/3,0/2,3.8,4.0,3.0,4.0,3/6,,,0/1,2/6,,,0/1,4/5,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Reproductive Medicine & Infertility Shawnee Mission Medical Center,,No,No,Yes,Yes,Yes,No,Pending
THE CENTER FOR REPRODUCTIVE MEDICINE,,WICHITA,KS,97%,<1%,2%,<1%,32%,0%,37%,20%,7%,29%,2%,0%,5%,David,A.,Grainger,", M.D.",92,48,22,20,33.7,50.0,40.9,15.0,29.3,47.9,31.8,10.0,(20.0 - 38.7),(33.8 - 62.0),(12.4 - 51.3),(0.0 - 23.1),30.0,52.3,7/15,2/18,30.7,56.1,7/14,2/16,2.2,8.3,31.8,10.0,2.7,3.0,2.9,3.1,38.7,33.3,1/9,1/3,9.7,8.3,0/9,0/3,44.4,39.1,1/7,0/2,27,18,7,4,18.5,5/18,1/7,0/4,3.2,3.3,3.0,3.0,1,0,1,5,0/1,,0/1,2/5,1.0,,2.0,3.0,0,0,0,3,,,,0/3,,,,4.3,The Center for Reproductive Medicine,,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY & ENDOCRINE ASSOCIATES,,LEXINGTON,KY,100%,0%,0%,0%,18%,0%,25%,11%,13%,39%,0%,12%,0%,Robert,J.,Homm,", M.D.",33,11,8,4,9.1,1/11,1/8,0/4,3.0,1/11,0/8,0/4,(0.0 - 8.9),,,,3.2,1/10,0/8,0/4,3.2,1/9,0/8,0/3,6.1,1/11,0/8,0/4,3.5,3.4,3.5,2.7,2/3,0/1,0/1,,0/3,1/1,0/1,,1/1,1/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Fertility & Endocrine Associates,,No,No,No,No,Yes,Yes,Yes
"JAMES W. AKIN, M.D.",,LEXINGTON,KY,96%,4%,0%,0%,18%,0%,22%,23%,17%,38%,0%,0%,0%,James,W.,Akin,", M.D.",27,15,6,3,22.2,3/15,0/6,0/3,22.2,3/15,0/6,0/3,(6.5 - 37.9),,,,23.1,3/15,0/6,0/3,24.0,3/14,0/5,0/2,3.7,0/15,0/6,0/3,3.0,2.7,2.2,1.5,1/6,1/3,,,1/6,0/3,,,2/6,1/3,,,2,0,0,0,0/2,,,,4.0,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"James W. Akin, M.D.",,No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF KENTUCKY,,LEXINGTON,KY,100%,0%,0%,0%,17%,0%,50%,29%,0%,14%,0%,0%,7%,Shona,,Murray,", M.D.",6,4,2,0,1/6,0/4,0/2,,1/6,0/4,0/2,,,,,,1/6,0/3,0/1,,1/6,0/3,,,0/6,1/4,1/2,,3.3,3.3,,,1/1,,,,0/1,,,,0/1,,,,2,0,0,0,1/2,,,,2.5,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,University of Kentucky,,No,No,Yes,No,Yes,Yes,Yes
UNIVERSITY OB/GYN ASSOCIATES FERTILITY CENTER,,LOUISVILLE,KY,100%,0%,0%,0%,49%,0%,27%,29%,17%,12%,6%,5%,4%,Steven,T.,Nakajima,", M.D.",120,46,29,18,39.2,32.6,24.1,2/18,32.5,21.7,24.1,1/18,(24.1 - 40.9),(9.8 - 33.7),(8.6 - 39.7),,34.8,25.0,31.8,1/10,36.4,25.0,33.3,1/9,6.7,13.0,24.1,8/18,3.0,3.2,3.1,4.4,29.8,2/15,2/7,0/2,19.1,0/15,0/7,0/2,51.3,2/10,1/7,0/1,24,8,7,0,12.5,1/8,0/7,,2.8,2.6,3.4,,1,2,0,3,0/1,0/2,,1/3,2.0,3.0,,4.0,1,0,0,2,1/1,,,0/2,4.0,,,2.5,University OB/GYN Associates Fertility Center,,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY AND LASER CENTER,,METAIRIE,LA,89%,8%,1%,2%,25%,0%,16%,6%,50%,17%,2%,9%,0%,Heber,E.,Dunaway,", M.D.",86,34,34,4,25.6,26.5,8.8,0/4,20.9,17.6,5.9,0/4,(12.3 - 29.5),(4.8 - 30.5),(0.0 - 13.8),,24.0,18.2,7.4,0/2,25.7,20.0,8.7,0/2,12.8,2.9,20.6,2/4,4.0,3.7,3.8,3.5,22.7,2/9,0/3,,18.2,1/9,0/3,,8/18,2/6,0/2,,3,2,1,0,0/3,0/2,0/1,,3.0,4.5,2.0,,0,0,0,3,,,,0/3,,,,5.0,1,0,0,0,0/1,,,,3.0,,,,Fertility and Laser Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR FERTILITY & ADVANCED REPRODUCTIVE CARE,,METAIRIE,LA,90%,7%,3%,0%,28%,3%,27%,9%,14%,45%,5%,0%,0%,William,E.,Roniger,", M.D.",19,13,4,3,5/19,2/13,0/4,0/3,4/19,2/13,0/4,0/3,,,,,4/18,2/13,0/3,0/3,4/17,2/12,0/3,0/3,1/19,0/13,1/4,0/3,3.9,3.5,3.3,3.3,3/5,0/2,,,1/5,0/2,,,3/4,0/2,,,12,1,0,0,2/12,0/1,,,3.0,4.0,,,1,0,0,1,1/1,,,0/1,5.0,,,4.0,0,0,0,0,,,,,,,,,The Center for Fertility & Advanced Reproductive Care,,No,No,Yes,No,Yes,Yes,Yes
FERTILITY CLINIC,TULANE UNIVERSITY HOSPITAL AND CLINIC,NEW ORLEANS,LA,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,Paul,R.,Clisham,", M.D.",2,0,0,0,1/2,,,,0/2,,,,,,,,0/2,,,,0/2,,,,0/2,,,,5.5,,,,0/1,,,,0/1,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Fertility Clinic, Tulane University Hospital and Clinic",,No,No,No,No,Yes,Yes,Yes
FERTILITY INSTITUTE OF NEW ORLEANS,,NEW ORLEANS,LA,99%,<1%,0%,0%,20%,0%,33%,9%,7%,38%,2%,9%,2%,Richard,P.,Dickey,", M.D., Ph.D.",92,38,30,17,32.6,15.8,6.7,0/17,27.2,10.5,3.3,0/17,(18.1 - 36.3),(0.8 - 20.3),(0.0 - 9.8),,33.3,19.0,1/16,0/10,34.2,4/19,1/14,0/8,18.5,44.7,46.7,7/17,4.2,4.4,3.6,3.3,36.7,3/6,0/2,,20.0,0/6,1/2,,64.0,2/4,0/1,,5,7,6,3,0/5,0/7,0/6,0/3,2.2,2.3,3.2,3.3,1,0,1,0,0/1,,0/1,,1.0,,5.0,,0,0,0,0,,,,,,,,,Fertility Institute of New Orleans,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OCHSNER CLINIC REPRODUCTIVE MEDICINE,,NEW ORLEANS,LA,100%,0%,0%,0%,13%,0%,30%,30%,0%,40%,0%,0%,0%,David,N.,Curole,", M.D.",5,2,0,1,0/5,0/2,,0/1,0/5,0/2,,0/1,,,,,0/2,,,,0/1,,,,3/5,2/2,,1/1,3.0,,,,,,,,,,,,,,,,0,0,1,1,,,0/1,1/1,,,2.0,4.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Ochsner Clinic Reproductive Medicine,,No,No,No,No,Yes,Yes,No
CENTER FOR FERTILITY & REPRODUCTIVE HEALTH,,SHREVEPORT,LA,100%,0%,0%,0%,22%,0%,44%,17%,25%,13%,1%,0%,0%,Steve,N.,London,", M.D.",53,26,7,3,34.0,23.1,2/7,0/3,28.3,19.2,2/7,0/3,(16.2 - 40.4),(4.1 - 34.4),,,40.5,5/16,2/6,0/2,40.5,5/16,2/6,0/2,30.2,38.5,1/7,1/3,3.0,2.9,4.2,5.0,6/18,1/6,1/2,,2/18,1/6,1/2,,8/15,2/5,1/2,,3,4,0,0,0/3,0/4,,,3.0,3.8,,,0,0,0,1,,,,0/1,,,,3.0,0,0,0,1,,,,0/1,,,,3.0,Center for Fertility & Reproductive Health,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR ASSISTED REPRODUCTION,,BOSTON,MA,98%,2%,<1%,0%,24%,0%,21%,22%,6%,12%,5%,34%,0%,Elizabeth,S.,Ginsburg,", M.D.",428,280,236,116,48.1,39.6,32.2,19.0,41.1,32.9,23.3,11.2,(36.5 - 45.8),(27.4 - 38.4),(17.9 - 28.7),(5.5 - 16.9),42.3,33.8,24.7,12.1,45.0,34.5,26.2,12.9,2.8,2.9,5.5,7.8,3.2,3.6,3.9,4.2,33.0,24.3,21.1,31.8,10.2,13.5,5.3,0.0,38.6,35.9,27.3,5/13,19,7,8,5,6/19,3/7,3/8,1/5,3.1,3.1,4.1,3.2,3,2,4,13,0/3,0/2,3/4,9/13,4.0,2.0,4.3,4.2,2,0,0,1,0/2,,,1/1,2.0,,,6.0,Center for Assisted Reproduction,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FAULKNER CENTER FOR REPRODUCTIVE MEDICINE,,BOSTON,MA,98%,2%,0%,0%,33%,3%,13%,21%,35%,17%,2%,11%,1%,Machelle,,Seibel,", M.D.",48,24,18,30,25.0,12.5,1/18,3.3,16.7,12.5,1/18,3.3,(6.1 - 27.2),(0.0 - 25.7),,(0.0 - 9.8),22.2,3/15,1/13,1/13,23.5,3/14,1/12,1/11,25.0,37.5,5/18,56.7,3.5,3.2,2.8,3.4,2/12,1/3,0/1,0/1,1/12,1/3,0/1,0/1,2/8,2/3,0/1,0/1,2,2,3,8,1/2,0/2,1/3,0/8,2.0,2.5,2.3,2.4,6,0,5,20,1/6,,3/5,25.0,2.7,,4.0,3.2,0,0,0,0,,,,,,,,,Faulkner Center For Reproductive Medicine,,Yes,No,Yes,No,Yes,Yes,Pending
MASSACHUSETTS GENERAL HOSPITAL VINCENT IVF UNIT,,BOSTON,MA,99%,<1%,0%,<1%,35%,0%,21%,36%,6%,10%,6%,2%,19%,Thomas,L.,Toth,", M.D.",122,77,54,35,32.0,36.4,22.2,17.1,27.0,27.3,14.8,11.4,(19.2 - 34.9),(17.3 - 37.2),(5.3 - 24.3),(0.9 - 22.0),30.6,32.8,18.6,14.8,32.4,33.3,21.6,18.2,11.5,16.9,20.4,22.9,2.8,3.2,3.3,3.6,30.8,25.0,2/12,0/6,7.7,14.3,0/12,0/6,39.4,38.1,1/8,0/4,11,3,7,1,2/11,0/3,1/7,0/1,3.2,3.0,3.6,1.0,0,0,2,1,,,1/2,0/1,,,2.5,4.0,0,1,0,0,,1/1,,,,4.0,,,Massachusetts General Hospital Vincent IVF Unit,,Yes,No,Yes,Yes,Yes,Yes,Yes
NEW ENGLAND FERTILITY AND ENDOCRINOLOGY ASSOCIATES,,BROOKLINE,MA,100%,0%,0%,0%,0%,95%,73%,0%,0%,16%,0%,0%,11%,Gary,L.,Gross,", M.D.",2,8,3,6,0/2,1/8,0/3,0/6,0/2,1/8,0/3,0/6,,,,,0/2,1/8,0/3,0/6,0/2,1/6,0/1,0/3,0/2,0/8,0/3,0/6,1.0,1.0,1.0,1.0,,0/1,,,,0/1,,,,0/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,New England Fertility and Endocrinology Associates,,No,No,Yes,No,Yes,Yes,Pending
HALLMARK HEALTH FERTILITY SERVICES,,MALDEN,MA,100%,0%,0%,0%,0%,0%,39%,20%,9%,23%,0%,2%,7%,Shaila,,Phansey-Chauhan,", M.D.",14,5,9,5,5/14,1/5,0/9,0/5,3/14,1/5,0/9,0/5,,,,,3/13,1/5,0/7,0/1,3/12,1/5,0/7,0/1,1/14,0/5,2/9,4/5,3.1,3.6,2.3,1.0,1/5,0/1,,,0/5,0/1,,,1/3,0/1,,,7,2,1,1,5/7,0/2,0/1,0/1,3.3,3.0,4.0,2.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Hallmark Health Fertility Services,,No,No,Yes,No,Yes,Yes,Yes
"FERTILITY CENTER OF NEW ENGLAND, INC.",NEW ENGLAND CLINIC OF REPRODUCTIVE MEDICINE,READING,MA,97%,<1%,0%,3%,33%,0%,25%,25%,20%,12%,5%,7%,6%,Vito,R.S.,Cardone,", M.D.",312,193,207,156,28.8,23.3,13.0,6.4,23.7,18.7,9.7,4.5,(19.0 - 28.4),(13.2 - 24.1),(5.6 - 13.7),(1.2 - 7.7),25.1,19.7,10.6,4.8,28.4,21.6,12.4,6.0,5.4,5.2,9.2,6.4,2.9,3.1,2.9,2.7,17.8,11.1,11.1,1/10,6.7,6.7,3.7,0/10,25.7,19.4,20.0,1/7,80,47,20,12,18.8,25.5,10.0,0/12,3.3,3.5,3.5,2.6,9,4,11,40,4/9,0/4,4/11,50.0,2.7,2.5,3.0,3.0,2,1,4,11,1/2,0/1,0/4,3/11,3.0,3.0,3.3,2.7,"Fertility Center of New England, Inc., New England Clinic of Reproductive Medicine",,Yes,No,Yes,Yes,Yes,Yes,Yes
BAYSTATE IVF,,SPRINGFIELD,MA,100%,0%,0%,<1%,42%,0%,40%,17%,12%,11%,2%,11%,7%,Daniel,,Grow,", M.D.",117,59,53,47,31.6,27.1,18.9,8.5,29.1,22.0,15.1,8.5,(20.8 - 37.3),(11.5 - 32.6),(5.5 - 24.7),(0.5 - 16.5),32.7,24.5,16.3,9.8,36.6,25.0,17.8,11.1,11.1,10.2,7.5,12.8,2.8,3.1,3.2,3.4,35.1,5/16,2/10,0/4,5.4,1/16,0/10,0/4,44.1,6/13,2/8,0/4,39,17,7,8,23.1,3/17,1/7,2/8,3.1,3.4,3.3,4.0,0,0,2,0,,,1/2,,,,4.0,,0,0,0,0,,,,,,,,,Baystate IVF,,Yes,No,Yes,Yes,Yes,Yes,Yes
BOSTON IVF,,WALTHAM,MA,93%,7%,0%,0%,25%,<1%,22%,21%,13%,11%,4%,13%,16%,Michael,M.,Alper,", M.D.",856,518,471,386,31.4,32.2,24.4,12.2,27.3,27.0,19.7,8.0,(24.4 - 30.3),(23.2 - 30.9),(16.2 - 23.3),(5.3 - 10.7),30.2,30.8,25.1,10.6,32.3,32.9,27.1,11.7,9.3,12.2,21.2,24.4,2.9,3.4,3.4,3.8,33.5,27.5,26.1,12.8,9.3,11.4,7.0,6.4,40.2,36.4,30.1,19.4,115,55,39,20,10.4,12.7,20.5,5.0,2.7,2.9,3.5,3.2,16,16,27,52,4/16,7/16,33.3,28.8,2.8,3.1,3.1,2.6,4,4,3,11,1/4,0/4,0/3,1/11,3.0,1.8,3.3,3.1,Boston IVF,,Yes,No,Yes,Yes,Yes,Yes,Yes
