PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,,NEWPORT BEACH,CALIFORNIA,100%,0%,0%,0%,84%,0%,13%,2%,16%,7%,<1%,19%,4%,3%,15%,21%,"Robert E. Anderson, M.D.",61,41,36,13,39.3,31.7,41.7,0.076923077,36.1,29.3,27.8,0.076923077,-24.1,-27.9,-29.3,=,36.7,32.4,30.3,0.1,38.6,32.4,32.3,0.125,1.6,9.8,8.3,0.230769231,3.2,3.5,3.9,3,29.2,0.461538462,0.2,0,8.3,0.153846154,0.066666667,0,36.4,0.583333333,0.2,0,20,12,6,3,25,0.333333333,0.5,0.333333333,2.6,3.1,4,2.7,20,16,50,0.4375,3.1,3.4,Southern California Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,Yes
NORTHRIDGE CENTER FOR REPRODUCTIVE MEDICINE,,NORTHRIDGE,CALIFORNIA,100%,0%,0%,0%,74%,0%,12%,<1%,13%,7%,2%,14%,3%,10%,12%,26%,"Jirair B. Konialian, M.D.",43,22,22,7,34.9,27.3,22.7,0,30.2,27.3,18.2,0,-27.5,-37.2,-32.2,=,38.2,28.6,0.210526316,0,38.2,28.6,0.210526316,0,20.9,4.5,13.6,0,3.7,3.8,3.5,4.3,0.266666667,0.166666667,0.4,=,0,0,0,=,0.230769231,0.166666667,0.5,=,0,1,0,0,=,0,=,=,=,5,=,=,20,0,50,=,4.1,=,Northridge Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,No,No
IVF--ORANGE,,ORANGE    ,CALIFORNIA,100%,0%,0%,0%,16%,0%,15%,0%,3%,16%,0%,16%,16%,34%,0%,0%,"Darush Mohyi, M.D.",10,3,5,1,0.2,0.333333333,0.2,1,0.2,0.333333333,0.2,0,=,=,=,=,0.222222222,0.333333333,0.2,0,0.222222222,0.333333333,0.2,0,0.1,0,0,0,3.2,4.7,4.8,3,0,1,0,0,0,0,0,0,0,1,0,=,3,0,0,1,0,=,=,0,3.3,=,=,3,5,1,0.4,0,3.4,4,IVF--Orange Surgery Center,Yes,Yes,Yes,No,Yes,No,No
"SUSAN P. WILLMAN, M.D.",,ORINDA ,CALIFORNIA,>99%,0%,0%,<1%,46%,0%,7%,2%,13%,5%,5%,14%,5%,12%,12%,25%,"Susan P. Willman, M.D.",32,24,30,12,34.4,37.5,30,0.333333333,25,33.3,26.7,0.166666667,-30,-37.7,-31.7,=,25.8,36.4,29.6,0.181818182,27.6,40,30.8,0.2,3.1,8.3,10,0.083333333,3.2,3.9,3.9,4.6,0.090909091,0.222222222,0.222222222,0,0.090909091,0.222222222,0.111111111,0,0.25,0.375,0.125,0,2,3,2,1,0,0.333333333,0,0,3,3,5,6,23,8,65.2,0.25,3.1,4.3,"Susan P. Willman, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
NOVA IN VITRO FERTILIZATION,,PALO ALTO    ,CALIFORNIA,100%,0%,0%,0%,26%,0%,16%,13%,15%,3%,3%,9%,1%,12%,16%,12%,"Francis F. Polansky, M.D.",52,44,51,25,44.2,45.5,25.5,32,36.5,40.9,23.5,16,-26.1,-29,-23.3,-28.8,43.2,48.6,35.3,0.210526316,45.2,50,37.5,0.210526316,15.4,15.9,33.3,24,2.9,3.2,3.9,4.2,34.8,50,0.307692308,0.125,4.3,15,0.153846154,0,0.421052632,0.5,0.166666667,0,11,4,2,0,0.181818182,0,0,=,3.5,2.5,4.5,=,21,4,57.1,0.25,2.8,2.8,Nova In Vitro Fertilization,Yes,No,Yes,No,Yes,Yes,Yes
HUNTINGTON REPRODUCTIVE CENTER,,PASADENA ,CALIFORNIA,99%,<1%,<1%,<1%,59%,<1%,11%,2%,16%,5%,4%,12%,16%,9%,13%,12%,"Joel H. Batzofin, M.D.",287,172,195,83,37.3,34.9,28.2,10.8,32.8,29.1,23.1,7.2,-10.9,-13.6,-11.8,-11.1,34.7,30.7,25.7,8.6,36.4,31.1,27.6,9.4,5.6,5.2,10.3,15.7,3.8,3.9,4.3,3.8,28,21.7,20,0.111111111,14,13.3,9.1,0,41.5,36,24.4,0.166666667,30,23,19,6,16.7,34.8,0.263157895,0.166666667,3.7,3.6,3.2,3.5,196,41,34.7,34.1,3.8,3.4,Huntington Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS--REDONDO BEACH,,REDONDO BEACH,CALIFORNIA,95%,5%,<1%,0%,56%,0%,7%,1%,0%,1%,0%,11%,27%,<1%,13%,39%,"Bill Yee, M.D.",55,48,72,21,54.5,41.7,30.6,33.3,50.9,31.3,19.4,19,-26.4,-26.3,-18.3,-33.5,54.9,33.3,23.3,0.210526316,54.9,33.3,23.3,0.210526316,7.3,6.3,16.7,9.5,2.8,3.5,4.1,5.2,40,50,22.7,0.142857143,3.3,10,4.5,0.142857143,32.1,0.466666667,0.285714286,0,14,12,17,2,0.071428571,0.333333333,0.117647059,0,3.6,2.8,4.1,5,37,21,43.2,33.3,2.7,3.7,Reproductive Partners--Redondo Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,,ROSEVILLE,CALIFORNIA,100%,0%,0%,0%,48%,0%,19%,5%,10%,4%,<1%,15%,9%,5%,18%,14%,"Carlos E. Soto-Albors, M.D.",145,93,89,30,45.5,43,30.3,6.7,41.4,39.8,25.8,3.3,-16,-19.9,-18.2,-9.8,43.2,40.7,29.9,4.5,44.8,41.6,31.9,5,4.1,2.2,13.5,26.7,2.7,3.1,4.1,2.8,28.8,30,18.5,0,3,7.5,11.1,0,33.3,35.1,21.7,0,41,18,11,0,12.2,0.166666667,0,=,3.3,2.7,2.4,=,69,36,50.7,22.2,2.4,3.1,Northern California Fertility Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF CALIFORNIA--DAVIS,ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAM,SACRAMENTO,CALIFORNIA,100%,0%,0%,0%,16%,0%,37%,5%,4%,9%,1%,3%,3%,24%,9%,5%,"Stephen P. Boyers, M.D.",28,15,11,3,39.3,0.266666667,0,0.333333333,28.6,0.266666667,0,0.333333333,-33.5,=,=,=,34.8,0.363636364,0,1,34.8,0.363636364,0,1,17.9,0.266666667,0.545454545,0.666666667,3.5,4.8,5.2,6,0.272727273,0.5,=,1,0,0,=,0,0.375,0.25,=,0,4,1,1,0,0.25,0,0,=,5,4,4,=,9,2,0.666666667,0,2.8,4,"University of California--Davis, Assisted Reproductive Technology Program",Yes,No,Yes,No,Yes,Yes,Yes
THE FERTILITY AND GYNECOLOGY CENTER,,SALINAS,CALIFORNIA,100%,0%,0%,0%,62%,0%,11%,5%,3%,0%,0%,3%,0%,4%,30%,44%,"Edward J. Ramirez, M.D.",24,16,5,5,45.8,0.3125,0,0.2,33.3,0.25,0,0.2,-37.7,=,=,=,36.4,0.25,0,0.25,38.1,0.285714286,0,0.25,8.3,0,0,0.2,3.4,3.1,2.8,4.3,0.363636364,0.2,=,0,0.090909091,0,=,0,0.625,0.25,=,0,4,4,0,2,0,0,=,0,3,2.8,=,2,10,0,0.1,=,4.2,=,The Fertility and Gynecology Center,Yes,Yes,Yes,Yes,Yes,Yes,Pending
ADVANCED FERTILITY INSTITUTE,,SAN DIEGO    ,CALIFORNIA,100%,0%,0%,0%,55%,2%,10%,5%,2%,8%,6%,7%,6%,10%,16%,30%,"Steven A. Brody, M.D.",14,18,18,10,0.357142857,0.5,0.444444444,0.4,0.285714286,0.444444444,0.388888889,0.3,=,=,=,=,0.307692308,0.533333333,0.5,0.5,0.571428571,0.666666667,0.777777778,0.5,0.071428571,0.166666667,0.222222222,0.4,3,2.9,3.1,4.2,0,0.555555556,0.125,0.5,0.2,0,0,0,0,0.25,0,0.333333333,1,1,1,0,0,0,0,=,3,2,2,=,7,0,0.571428571,=,2.9,=,Advanced Fertility Institute,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY SPECIALISTS MEDICAL GROUP,,SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,60%,0%,6%,0%,0%,0%,0%,23%,0%,18%,6%,47%,"Arlene J. Morales, M.D.",4,2,3,5,0,0,0.333333333,0,0,0,0.333333333,0,=,=,=,=,0,0,1,0,0,0,1,0,0,0,0.666666667,0.6,2.5,3,2,2.5,=,=,0,=,=,=,0,=,=,=,0,=,1,0,0,0,0,=,=,=,5,=,=,=,1,0,0,=,4,=,Fertility Specialists Medical Group,Yes,Yes,Yes,Yes,Yes,No,Yes
IGO MEDICAL GROUP OF SAN DIEGO,,SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,67%,0%,9%,2%,5%,4%,0%,33%,3%,2%,14%,28%,"Benito Villanueva, M.D.",29,23,28,0,44.8,30.4,17.9,=,41.4,26.1,10.7,=,-35.8,-35.9,-22.2,=,41.4,0.333333333,11.1,=,42.9,0.333333333,11.5,=,0,21.7,3.6,=,2.5,2.7,2.8,=,0.230769231,0,0.2,=,0,0,0,=,0.25,0,0,=,8,0,1,0,0,=,0,=,2.5,=,1,=,6,1,0.166666667,0,2.5,4,IGO Medical Group of San Diego,Yes,No,Yes,Yes,Yes,Yes,Yes
INFERTILITY CLINIC,"NAVAL MEDICAL CENTER, SAN DIEGO",SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,39%,0%,42%,<1%,0%,2%,0%,21%,0%,17%,7%,11%,"Larry R. Laufer, M.D.",77,26,30,9,41.6,38.5,20,0.222222222,23.4,34.6,10,0,-18.9,-36.6,-20.7,=,27.7,39.1,13,0,28.6,42.9,13,0,15.6,11.5,23.3,0.111111111,2.5,3.2,3.8,3.5,34.4,0.4,0.333333333,0,0,0.2,0,0,0.444444444,0.555555556,0.333333333,=,15,5,4,1,0.133333333,0,0,0,3.3,3.4,4,5,0,0,=,=,=,=,"Infertility Clinic, Naval Medical Center, San Diego",No,No,Yes,No,Yes,No,Yes
"MINH N. HO, M.D., F.A.C.O.G.",,SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,41%,0%,5%,11%,17%,0%,4%,4%,2%,4%,42%,11%,"Minh N. Ho, M.D.",11,10,13,0,0.636363636,0.3,0.384615385,=,0.454545455,0.2,0.230769231,=,=,=,=,=,0.454545455,0.2,0.230769231,=,0.454545455,0.2,0.25,=,0,0,0,=,3,3,3.3,=,0.285714286,0,0,=,0,0,0,=,0.2,0,0,=,1,1,1,1,0,1,0,0,4,4,4,4,12,0,0.583333333,=,3.3,=,"Minh N. Ho, M.D., F.A.C.O.G., Xpert Fertility Care of California",Yes,Yes,Yes,Yes,Yes,No,Yes
SAN DIEGO FERTILITY CENTER,,SAN DIEGO    ,CALIFORNIA,>99%,0%,<1%,0%,90%,0%,10%,3%,11%,3%,2%,14%,<1%,2%,22%,32%,"William P. Hummel, M.D.",61,56,47,19,32.8,32.1,19.1,0.105263158,32.8,26.8,14.9,0.052631579,-23.6,-23.2,-20.4,=,32.8,28.8,16.7,0.0625,32.8,30,17.1,0.066666667,0,7.1,10.6,0.157894737,3.1,3.5,3.6,3.7,20,0.333333333,0.222222222,0,5,0,0.111111111,0,20,0.266666667,0.285714286,0,12,7,5,0,0.166666667,0.285714286,0.2,=,2.9,3.1,3.2,=,40,6,42.5,0.5,2.8,3,San Diego Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ASTARTE FERTILITY CENTER,,SAN FRANCISCO,CALIFORNIA,97%,0%,2%,<1%,48%,1%,9%,<1%,10%,6%,1%,18%,6%,14%,14%,21%,"Alex J. Steinleitner, M.D.",48,30,30,23,37.5,33.3,26.7,26.1,33.3,33.3,20,17.4,-26.7,-33.7,-28.6,-31,41,38.5,24,0.235294118,45.7,41.7,28.6,0.285714286,18.8,13.3,16.7,26.1,2.7,2.9,3.1,3.9,0.111111111,0.4,0.375,0.333333333,0.055555556,0.2,0.125,0,0.125,0.6,0.5,0,2,1,3,1,1,0,0,1,3,3,1.3,6,45,16,46.7,0.0625,2.9,2.6,ASTARTE Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY ASSOCIATES OF THE BAY AREA,,SAN FRANCISCO,CALIFORNIA,100%,0%,0%,0%,60%,0%,4%,1%,16%,<1%,<1%,9%,7%,7%,14%,40%,"Steven L. Katz, M.D.",30,17,24,7,46.7,0.294117647,25,0.142857143,36.7,0.294117647,25,0.142857143,-34.5,=,-34.6,=,36.7,0.333333333,25,0.166666667,37.9,0.333333333,25,0.166666667,0,0.117647059,0,0.142857143,3,2.9,3.5,2.2,0.357142857,0.2,0.333333333,1,0,0.2,0,0,0.454545455,0.4,0.166666667,0,3,1,1,0,0,0,0,=,4.3,3,2,=,39,11,59,0.090909091,3.3,2.9,Fertility Associates of the Bay Area,Yes,Yes,Yes,Yes,Yes,Yes,Pending
"SIMON R. HENDERSON, M.D.",,SAN FRANCISCO,CALIFORNIA,100%,0%,0%,0%,47%,0%,3%,14%,25%,2%,12%,15%,4%,0%,4%,21%,"Simon R. Henderson, M.D.",16,17,17,8,0.125,0,0.176470588,0,0.125,0,0.176470588,0,=,=,=,=,0.181818182,0,0.25,0,0.2,0,0.25,0,0.3125,0.352941176,0.294117647,0.125,3.8,5.5,5.1,11,0.5,=,0,=,0.5,=,0,=,1,=,0,=,2,2,3,0,0,0,0,=,7.5,5,4.7,=,5,1,0.4,0,3.2,3,"Simon R. Henderson, M.D.",Yes,No,Yes,Yes,Yes,Yes,Yes
SAN FRANCISCO FERTILITY CENTERS,PACIFIC FERTILITY CENTER/SAN FRANCISCO CENTER FOR REPRODUCTIVE MEDICINE,SAN FRANCISCO    ,CALIFORNIA,100%,0%,0%,0%,54%,<1%,12%,5%,21%,4%,3%,19%,6%,14%,5%,11%,"Philip E. Chenette, M.D.",225,165,195,98,32.9,31.5,25.6,10.2,28.9,24.2,18.5,4.1,-11.8,-13.1,-10.9,-7.8,32.2,27,21.6,4.8,33.9,27.6,22.1,5.2,10.2,10.3,14.4,15.3,3,3.5,3.9,4.4,31.1,34.6,24,0.3,6.8,13.5,4,0,38.5,60,27.8,0.25,77,51,34,14,37.7,27.5,23.5,0.142857143,3.3,3.4,3.6,4.3,174,99,50,25.3,2.7,3.1,"San Francisco Fertility Centers, Pacific Fertility Center/San Francisco Center for Reproductive Medicine",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF CALIFORNIA--SAN FRANCISCO,IN VITRO FERTILIZATION PROGRAM,SAN FRANCISCO,CALIFORNIA,100%,0%,0%,0%,62%,0%,5%,2%,8%,<1%,2%,19%,4%,3%,23%,33%,"Victor Y. Fujimoto, M.D.",63,44,34,14,22.2,22.7,14.7,0,19,15.9,14.7,0,-19.3,-21.6,-23.8,=,21.8,19.4,18.5,0,22.6,20,18.5,0,12.7,18.2,20.6,0.214285714,2.8,3.2,3.6,4.5,0.285714286,0.4,0.4,=,0.071428571,0,0.2,=,0.333333333,0.428571429,0.2,=,44,19,9,2,22.7,0.105263158,0.111111111,0,3.2,3,3.7,6,9,18,0.444444444,0.388888889,2.6,2.7,"University of California--San Francisco, In Vitro Fertilization Program",Yes,Yes,Yes,Yes,Yes,Yes,Yes
"CARMELO S. SGARLATA, M.D.",,SAN JOSE,CALIFORNIA,88%,12%,0%,0%,40%,0%,10%,3%,0%,6%,0%,16%,0%,6%,34%,25%,"Carmelo S. Sgarlata, M.D.",25,19,8,7,20,0.210526316,0,0.285714286,16,0.210526316,0,0.285714286,-28.8,=,=,=,17.4,0.222222222,0,0.333333333,17.4,0.235294118,0,0.333333333,8,0.052631579,0.5,0.142857143,3.2,3.6,2.7,4.3,0,0.25,=,0,0,0.25,=,0,0,0.5,=,0,2,4,1,0,0,0,0,=,2,3,2,=,0,0,=,=,=,=,"Carmelo S. Sgarlata, M.D.",No,No,No,No,Yes,No,Yes
FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,,SAN JOSE,CALIFORNIA,98%,2%,0%,0%,56%,0%,10%,4%,8%,4%,<1%,20%,6%,9%,10%,28%,"G. David Adamson, M.D.",169,119,108,28,27.2,26.1,17.6,3.6,24.3,21,13,3.6,-12.9,-14.6,-12.7,-10.4,27.3,27.5,17.9,4.8,28.1,27.8,18.9,5,11.2,23.5,27.8,25,3.1,3.4,3.6,4.6,32.6,12.9,0.210526316,0,6.5,6.5,0,0,41.5,20,0.214285714,0,13,6,6,3,0,0,0,0,3.2,2.2,2.3,2.3,16,5,0.1875,0,3.4,2.6,Fertility Physicians of Northern California,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,,SAN RAMON    ,CALIFORNIA,99%,<1%,<1%,0%,41%,0%,13%,3%,24%,5%,<1%,20%,2%,10%,7%,15%,"Louis N. Weckstein, M.D.",202,139,109,34,41.6,42.4,24.8,20.6,37.6,37.4,17.4,11.8,-13.4,-16.1,-14.3,-21.7,39.6,42.3,22.4,14.8,41.1,43,22.6,16,5,11.5,22,20.6,2.6,3,3.7,4.2,34.5,40.7,22.2,0.285714286,8.3,6.8,0,0,35.5,50,0.263157895,0.5,24,26,10,3,8.3,19.2,0.1,0,3.2,3.4,3.5,3.7,76,37,36.8,16.2,2.6,3.5,Reproductive Science Center of the San Francisco Bay Area,Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR ASSISTED REPRODUCTIVE MEDICINE/CFP,,SANTA MONICA ,CALIFORNIA,95%,4%,0%,<1%,46%,<1%,8%,3%,11%,6%,2%,23%,9%,21%,7%,10%,"Richard P. Marrs, M.D.",70,84,87,69,44.3,32.1,25.3,18.8,40,22.6,20.7,8.7,-23,-17.9,-17,-13.3,43.8,26,29.5,14,43.8,27.9,32.1,14.3,8.6,13.1,29.9,37.7,3.5,3.6,3.8,4.2,35.5,37,18.2,0.153846154,19.4,3.7,0,0,50,0.526315789,0.222222222,0.166666667,31,22,14,12,32.3,22.7,0,0.166666667,3.4,3,3.4,3.8,63,57,34.9,24.6,3.4,3.4,Center for Assisted Reproductive Medicine/CFP,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PARKER--ROSENMAN--RODI GYN & INFERTILITY MEDICAL GROUP,,SANTA MONICA ,CALIFORNIA,100%,0%,0%,0%,27%,0%,10%,7%,17%,10%,1%,14%,3%,9%,12%,17%,"Ingrid A. Rodi, M.D.",16,15,27,9,0.25,0.4,18.5,0.111111111,0.25,0.4,14.8,0.111111111,=,=,-26.8,=,0.307692308,0.545454545,17.4,0.166666667,0.333333333,0.545454545,18.2,0.166666667,0.1875,0.266666667,14.8,0.333333333,3,4,3.6,5.2,0.5,0.333333333,0.2,1,0,0.166666667,0.2,0,0.25,0.333333333,0.5,1,3,2,1,1,0.666666667,0.5,0,1,3.7,4.5,6,3,6,4,0.333333333,0,3.2,3.5,Parker--Rosenman--Rodi GYN & Infertility Medical Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"ISSA M. SHAMONKI, M.D., FERTILITY CLINIC",,SANTA MONICA ,CALIFORNIA,75%,25%,0%,0%,60%,0%,3%,4%,11%,0%,0%,3%,0%,0%,18%,61%,"Issa M. Shamonki, M.D.",10,2,5,0,0.8,1,0.6,=,0.6,1,0.6,=,=,=,=,=,0.6,1,0.6,=,0.6,1,0.6,=,0,0,0,=,3.7,3.5,4.6,=,0.125,0,0,=,0.125,0,0.333333333,=,0.333333333,0,0.333333333,=,1,0,0,0,1,=,=,=,4,=,=,=,3,2,0.333333333,0.5,3.7,3,"Issa M. Shamonki, M.D., Fertility Clinic",Yes,Yes,Yes,No,Yes,No,Yes
"NORTH BAY FERTILITY CENTER, INC.",,SANTA ROSA,CALIFORNIA,100%,0%,0%,0%,32%,0%,13%,2%,21%,2%,2%,14%,10%,10%,12%,14%,"Steven T. Dodge, M.D.",56,31,38,11,32.1,35.5,18.4,0.090909091,30.4,25.8,13.2,0,-24.1,-30.8,-21.5,=,31.5,27.6,13.9,0,33.3,29.6,13.9,0,3.6,6.5,5.3,0.090909091,3,3.4,3.4,3.9,0.166666667,0.181818182,0.428571429,0,0.111111111,0.090909091,0,0,0.235294118,0.375,0.4,=,8,5,8,0,0.375,0.2,0.125,=,3.4,3,2.8,=,17,10,0.470588235,0.3,2.5,2.9,"North Bay Fertility Center, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
VALLEY CENTER FOR REPRODUCTIVE HEALTH,"TINA KOOPERSMITH, M.D.",SHERMAN OAKS,CALIFORNIA,100%,0%,0%,0%,50%,0%,16%,0%,14%,5%,0%,8%,0%,8%,16%,33%,"Tina B. Koopersmith, M.D.",8,7,3,1,0.375,0.428571429,0,0,0.25,0.285714286,0,0,=,=,=,=,0.25,0.333333333,0,0,0.25,0.4,0,0,0,0.142857143,0.333333333,0,3.4,3,3,5,0.333333333,0,=,=,0,0,=,=,0.5,0,=,=,5,3,0,0,0.2,0,=,=,3.6,3.7,=,=,6,2,0.5,0.5,2.2,2.5,"Valley Center for Reproductive Health, Tina Koopersmith, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
STANFORD UNIVERSITY IVF/ART PROGRAM,,STANFORD,CALIFORNIA,100%,0%,0%,0%,35%,<1%,5%,1%,2%,4%,1%,18%,16%,12%,21%,20%,"Amin A. Milki, M.D.",196,170,209,107,24.5,26.5,16.7,15,20.4,21.2,10,10.3,-11.3,-12.3,-8.1,-11.5,21.2,22,10.6,10.8,22.7,23.2,11.2,11.1,3.6,3.5,5.3,4.7,2.6,2.9,3.1,3.2,18.8,17.8,8.6,0.1875,2.1,11.1,2.9,0,17.5,33.3,14.3,0.090909091,46,29,22,1,19.6,13.8,4.5,0,2.1,2.1,2.4,1,36,15,47.2,0.066666667,2.8,2.5,Stanford University IVF/ART Program,Yes,No,Yes,No,Yes,Yes,Yes
THE CENTER FOR FERTILITY AND GYNECOLOGY,VERMESH/BEN-OZER CENTER FOR FERTILITY,TARZANA     ,CALIFORNIA,96%,0%,0%,4%,81%,0%,10%,4%,15%,3%,2%,17%,4%,14%,19%,12%,"Michael Vermesh, M.D.",102,60,42,33,51,48.3,38.1,33.3,40.2,36.7,28.6,15.2,-19,-24.4,-27.3,-24.5,40.2,36.7,28.6,15.2,41.4,37.9,29.3,16.1,0,0,0,0,3.3,3.8,3.7,4.2,26.9,37.9,0.25,0,13.5,10.3,0.0625,0,43.9,54.5,0.333333333,0,18,7,4,1,0.222222222,0.142857143,0.5,1,4.2,3.9,2.8,6,48,13,64.6,0.384615385,3.1,4.4,"The Center for Fertility and Gynecology, Vermesh/Ben-Ozer Center for Fertility",Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE FERTILITY INSTITUTES,"JEFFREY STEINBERG, M.D. INCORPORATED",TARZANA ,CALIFORNIA,99%,0%,1%,0%,34%,0%,33%,9%,2%,6%,9%,19%,9%,<1%,3%,9%,"Jeffrey M. Steinberg, M.D.",39,22,16,4,43.6,36.4,0.3125,0.25,38.5,31.8,0.3125,0.25,-30.5,-38.9,=,=,38.5,33.3,0.333333333,0.25,38.5,0.368421053,0.333333333,0.5,0,4.5,0.0625,0,4.7,3.7,4.1,3.5,0.176470588,0.375,0.2,0,0.235294118,0,0,0,0.466666667,0.285714286,0.2,0,5,1,0,0,0.2,0,=,=,4.4,4,=,=,15,2,0.4,0,4.3,4,The Fertility Institutes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
INFERTILITY AND GYNECOLOGY INSTITUTE,,TARZANA     ,CALIFORNIA,98%,2%,0%,0%,64%,0%,30%,6%,18%,0%,0%,13%,11%,3%,6%,13%,"Paul M.  Greenberg, M.D.",14,11,7,10,0.357142857,0.454545455,0.285714286,0.2,0.357142857,0.454545455,0.285714286,0.2,=,=,=,=,0.384615385,0.454545455,0.285714286,0.25,0.384615385,0.454545455,0.285714286,0.25,0.071428571,0,0,0.2,3.2,3.5,2.7,3.3,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0,1,1,0,0,0,0,=,=,4,5,=,=,11,3,0.454545455,0.333333333,3.1,3.3,Infertility and Gynecology Institute,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY AND SURGICAL ASSOCIATES OF CALIFORNIA,,THOUSAND OAKS    ,CALIFORNIA,100%,0%,0%,0%,49%,0%,10%,5%,24%,3%,2%,9%,5%,9%,15%,18%,"Gary Hubert, M.D.",112,80,91,40,33.9,22.5,19.8,7.5,28.6,20,16.5,2.5,-16.7,-17.6,-15.2,-7.3,31.7,23.5,21.7,3.1,32.7,24.6,21.7,3.3,9.8,15,24.2,20,3.5,3.6,4.1,4.5,39.5,0.388888889,0.111111111,0,5.3,0.111111111,0.333333333,0,40.6,0.5625,0.466666667,0,32,13,6,5,15.6,0.307692308,0.166666667,0,3.3,3.5,3.7,4,25,8,32,0,3.2,3.5,Fertility and Surgical Associates of California,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PACIFIC REPRODUCTIVE CENTER,,TORRANCE    ,CALIFORNIA,100%,0%,0%,0%,60%,<1%,10%,3%,3%,3%,<1%,18%,8%,4%,35%,15%,"Rifaat Salem, M.D., Ph.D.",137,62,60,28,40.9,40.3,16.7,3.6,32.1,33.9,13.3,0,-15.6,-23.6,-17.2,-100,32.1,37.5,14,0,32.4,39.6,14.3,0,0,9.7,5,7.1,4.2,5,4.4,5.3,21.4,40,0.4,0,16.1,12,0,0,43.2,47.6,0.375,=,17,4,3,0,0.235294118,0.25,0,=,4.8,5.5,4.7,=,25,11,32,0.181818182,4.8,4.1,Pacific Reproductive Center,Yes,No,Yes,Yes,Yes,Yes,Yes
