PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,Medicaldirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinicNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
GRAND RAPIDS FERTILITY/SPECTRUM HEALTH EAST,,GRAND RAPIDS,MICHIGAN,92%,3%,3%,2%,56%,0%,21%,6%,12%,<1%,0%,29%,2%,11%,2%,17%,"Douglas C. Daly, M.D.",73,24,15,8,45.2,33.3,0.266666667,0.25,38.4,20.8,0.2,0.125,-22.3,-32.5,=,=,42.4,22.7,0.214285714,0.125,43.8,22.7,0.214285714,0.125,9.6,8.3,0.066666667,0,4,4.5,4.9,5,27.3,0.125,0.25,0,9.1,0.125,0,0,35.7,0.4,0,0,15,5,3,0,0.266666667,0.4,0.333333333,=,4.1,4.2,4.3,=,21,5,38.1,0.2,4.2,3.4,"Grand Rapids Fertility & IVF, P.C.",Yes,Yes,No,Yes,Yes,Yes,Pending
"MICHIGAN REPRODUCTIVE & IVF CENTER, P.C.",,GRAND RAPIDS,MICHIGAN,71%,5%,23%,1%,72%,0%,17%,1%,5%,5%,<1%,30%,2%,4%,9%,27%,"William G. Dodds, M.D.",216,68,46,19,48.1,42.6,43.5,0.368421053,44,38.2,32.6,0.157894737,-13.2,-23.1,-27.1,=,46.3,41.3,34.9,0.176470588,47.5,41.9,34.9,0.1875,5.1,7.4,6.5,0.105263158,3.5,4,4.2,3.6,37.5,37.9,15,0.142857143,20.2,6.9,5,0,53.7,50,0.2,0.333333333,48,17,6,7,27.1,0.352941176,0.333333333,0,3.8,3.9,3.8,2.1,24,7,54.2,0.285714286,3.9,4.3,"Michigan Reproductive & IVF Center, P.C.",Yes,Yes,No,Yes,Yes,Yes,Pending
"WEST MICHIGAN REPRODUCTIVE INSTITUTE, P.C.",,GRAND RAPIDS,MICHIGAN,99%,0%,1%,0%,46%,0%,23%,<1%,14%,8%,0%,13%,1%,2%,14%,24%,"R. Donald Eward, M.D.",50,20,8,9,28,15,0.25,0,24,15,0.125,0,-23.6,-30.6,=,=,24.5,0.1875,0.166666667,0,27.3,0.230769231,0.166666667,0,2,20,0.25,0.333333333,3.2,3.5,2.7,2,0.285714286,0,0,=,0.071428571,0.333333333,0.5,=,0.25,0.333333333,1,=,11,3,1,1,0.363636364,0,0,0,2.9,4,5,3,8,10,0,0.1,3.1,3.2,"West Michigan Reproductive Institute, P.C.",Yes,Yes,Yes,No,Yes,Yes,Yes
"INFERTILITY  AND GYNECOLOGY CENTER OF LANSING, P.C.",,LANSING,MICHIGAN,43%,33%,24%,0%,39%,0%,18%,2%,<1%,5%,1%,13%,2%,0%,37%,21%,"Mohammad Mohsenian, M.D.",62,23,20,4,41.9,30.4,30,0,40.3,21.7,25,0,-24.4,-33.7,-38,=,49,0.277777778,0.3125,0,51,0.3125,0.3125,0,17.7,21.7,20,0,3.4,3.4,3.8,2.5,30.8,0.142857143,0,=,3.8,0,0,=,32,0.2,0,=,3,2,1,0,0,0,0,=,2,1.5,1,=,5,1,0.4,0,3.6,1,"Infertility and Gynecology Center of Lansing, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
MICHIGAN STATE UNIVERSITY,CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,LANSING,MICHIGAN,17%,17%,66%,0%,83%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,75%,"Harold Sauer, M.D.",6,0,0,0,0.5,=,=,=,0.333333333,=,=,=,=,=,=,=,0.333333333,=,=,=,0.333333333,=,=,=,0,=,=,=,3.8,=,=,=,0.333333333,=,=,=,0,=,=,=,0,=,=,=,2,0,0,0,0,=,=,=,2.5,=,=,=,0,0,=,=,=,=,Michigan State University Center for Assisted Reproductive Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE MEDICINE AT ROCHESTER HILLS,,ROCHESTER HILLS,MICHIGAN,45%,0%,47%,8%,80%,0%,12%,3%,<1%,3%,3%,17%,4%,<1%,23%,34%,"Mostafa I. Abuzeid, M.D.",102,32,39,8,25.5,9.4,7.7,0,20.6,6.3,7.7,0,-15.7,-14.6,-16.1,=,21.6,7.4,8.1,0,22.1,7.4,9.1,0,4.9,15.6,5.1,0.125,4.8,5,4.5,4.3,26.9,0,0,=,3.8,0,0,=,38.1,0,0,=,8,0,1,0,0,=,0,=,3.6,=,1,=,0,0,=,=,=,=,The Center for Reproductive Medicine at Rochester Hills,No,No,Yes,No,Yes,No,No
FAKIH INSTITUTE OF REPRODUCTIVE SCIENCE & TECHNOLOGY,,ROCHESTER HILLS,MICHIGAN,63%,1%,31%,5%,91%,0%,14%,2%,8%,5%,2%,27%,7%,7%,11%,17%,"Michael H. Fakih, M.D.",170,60,53,18,40,36.7,37.7,0.166666667,34.7,26.7,22.6,0.055555556,-14.4,-22.4,-22.5,=,35.3,28.1,24,0.0625,35.8,28.6,24,0.0625,1.8,5,5.7,0.111111111,4.5,4.5,4.9,4.8,22.1,9.1,15,0,11.8,9.1,15,0,33.9,0.25,0.25,0,35,7,3,2,14.3,0,0.333333333,0,3,3.9,3,3.5,84,6,38.1,0.333333333,4.6,2.2,Fakih Institute of Reproductive Science & Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WILLIAM BEAUMONT FERTILITY CENTER,,ROYAL OAK,MICHIGAN,100%,0%,0%,0%,49%,<1%,20%,4%,2%,15%,0%,30%,14%,8%,3%,4%,"William R. Keye, M.D.",121,50,36,19,46.3,42,27.8,0.210526316,42.1,36,25,0,-17.5,-26.6,-28.2,=,46.8,37.5,29,0,47.7,37.5,30,0,9.9,4,13.9,0.210526316,2.9,2.8,3.1,3.7,23.2,19,0.3,0,8.9,4.8,0,0,29.4,0.277777778,0.111111111,=,6,5,1,1,0,0.2,0,0,2.5,3,3,2,5,0,0.8,=,3,=,William Beaumont Fertility Center,Yes,No,Yes,No,Yes,Yes,Yes
HUTZEL HOSPITAL / WAYNE STATE UNIVERSITY,ART PROGRAM,SOUTHFIELD,MICHIGAN,>99%,<1%,<1%,0%,34%,0%,20%,4%,3%,7%,<1%,20%,14%,16%,8%,8%,"Charla M. Blacker, M.D.",105,40,43,29,28.6,10,20.9,13.8,24.8,10,18.6,10.3,-16.5,-18.6,-23.2,-21.4,34.7,12.9,29.6,0.1875,36.6,13.3,32,0.230769231,28.6,22.5,37.2,44.8,3.6,3.9,3.9,3.6,20,0.25,0,0.25,16.7,0.25,0.111111111,0,38.5,0.25,0.125,0.333333333,4,1,2,0,0.25,0,0.5,=,3.3,3,4,=,12,0,0.166666667,=,3.8,=,Hutzel Hospital/Wayne State University ART Program,Yes,No,Yes,No,Yes,Yes,Yes
HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,100%,0%,0%,0%,24%,0%,17%,0%,0%,7%,0%,28%,5%,20%,8%,15%,"Ronald C. Strickler, M.D.",28,11,6,6,14.3,0.181818182,0,0.166666667,10.7,0.181818182,0,0,-22.2,=,=,=,15,0.5,0,0,0.176470588,0.666666667,0,0,28.6,0.636363636,0.666666667,0.333333333,3.4,3.3,4,2.3,0.25,0.5,=,0,0,0,=,0,0.333333333,0.5,=,=,2,0,2,0,0.5,=,0.5,=,3,=,2,=,2,0,0.5,=,3.5,=,Henry Ford Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes
"ANN ARBOR REPRODUCTIVE MEDICINE ASSOCIATES, P.C.",,YPSILANTI,MICHIGAN,42%,10%,48%,<1%,35%,0%,14%,21%,7%,4%,<1%,7%,<1%,<1%,5%,40%,"Jonathan W. Ayers, M.D.",107,77,39,20,23.4,20.8,20.5,15,22.4,18.2,17.9,15,-15.8,-17.2,-24.1,-30.6,24.7,22.2,25.9,0.176470588,27,25.5,25.9,0.1875,9.3,18.2,30.8,15,3,3.1,3.1,3.9,32,0.25,0.375,0,8,0.0625,0,0,41.7,0.285714286,0.428571429,0,23,11,13,2,17.4,0.090909091,0.076923077,0,2.3,2.3,2.3,4,22,8,27.3,0.25,3,2.4,Ann Arbor Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,40%,0%,12%,4%,9%,8%,1%,15%,6%,12%,12%,21%,"Bruce F. Campbell, M.D.",189,93,110,26,51.9,35.5,45.5,19.2,47.1,30.1,31.8,0,-14.2,-18.6,-17.4,=,53.3,36.8,38.9,0,53.6,36.8,39.3,0,11.6,18.3,18.2,15.4,2.9,3,3.4,3.1,29.6,24.2,12,0,7.1,15.2,0,0,39.3,39.3,17.1,=,15,7,4,1,0.4,0.285714286,0.5,0,3.3,3.9,4,1,50,0,60,=,2.6,=,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, P.A.",,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,36%,0%,24%,9%,2%,9%,2%,27%,4%,12%,2%,9%,"Randle S. Corfman, M.D., Ph.D.",169,65,48,12,46.2,43.1,35.4,0.416666667,40.8,33.8,27.1,0.166666667,-14.8,-23,-25.2,=,42.3,40.7,32.5,0.2,44.5,41.5,34.2,0.222222222,3.6,16.9,16.7,0.166666667,2.5,2.5,2.7,2.7,29.5,28.6,0.176470588,0,5.1,3.6,0,0,34.8,27.3,0.153846154,0,66,24,15,7,27.3,8.3,0.066666667,0,2.6,2.5,2.3,2.3,23,14,52.2,0.285714286,2.5,2.6,"The Midwest Center for Reproductive Health, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MINNESOTA,100%,0%,0%,0%,57%,0%,15%,<1%,7%,7%,<1%,23%,9%,5%,9%,23%,"Mark A. Damario, M.D.",129,48,43,8,55,25,32.6,0.375,48.8,20.8,27.9,0.375,-17.3,-23,-26.8,=,53.4,23.8,34.3,0.6,56.3,25.6,36.4,0.6,8.5,12.5,18.6,0.375,2.8,3.3,3.2,3.2,31,0.333333333,0.214285714,0,7,0,0,0,41.3,0.4,0.25,0,55,33,9,3,47.3,27.3,0.111111111,0.333333333,2.9,2.8,2.7,2.7,0,61,=,42.6,=,2.8,Mayo Clinic Assisted Reproductive Technologies,Yes,No,Yes,Yes,Yes,Yes,Yes
"REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES, P.A.",,ST. PAUL,MINNESOTA,100%,0%,0%,0%,88%,0%,10%,4%,<1%,6%,0%,42%,5%,7%,3%,22%,"Jacques P. Stassart, M.D.",135,67,34,8,54.1,44.8,50,0.125,50.4,35.8,38.2,0,-16.9,-23,-32.7,=,52.3,36.9,38.2,0,53.1,37.5,38.2,0,3.7,3,0,0.25,2.9,3.2,3.5,4.6,31.5,26.7,0.117647059,0,9.6,10,0,0,38.2,33.3,0.076923077,=,22,12,3,1,9.1,0.416666667,0,0,2.9,2.7,2.3,1,47,4,44.7,0.5,2.8,2.3,Reproductive Medicine & Infertility Associates,Yes,No,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,65%,0%,21%,2%,1%,13%,0%,7%,<1%,<1%,33%,21%,"Randall S. Hines, M.D.",88,31,16,4,28.4,12.9,0.0625,0.5,26.1,6.5,0,0,-18.3,-15.1,=,=,30.3,7.1,0,0,32.9,8,0,0,13.6,9.7,0.25,0,2.7,3,2,3.3,24,0,0,0,8,0,0,0,30.4,0,=,=,6,1,0,0,0.166666667,0,=,=,2.5,1,=,=,3,0,0,=,2.3,=,University of Mississippi Medical Center,Yes,No,No,No,Yes,Yes,Yes
WOMEN'S SPECIALTY CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,41%,0%,28%,3%,0%,22%,0%,7%,28%,3%,3%,6%,"John D. Isaacs, Jr., M.D.",15,12,5,0,0.333333333,0.333333333,0.2,=,0.266666667,0.333333333,0.2,=,=,=,=,=,0.266666667,0.363636364,0.25,=,0.285714286,0.4,0.25,=,0,0.083333333,0.2,=,2.6,2.4,2.5,=,0,0,1,=,0,0.25,0,=,0,0.25,0,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Women's Specialty Center,Yes,No,No,No,Yes,Yes,Pending
ADVANCED REPRODUCTIVE SPECIALISTS,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,0%,0%,28%,4%,0%,14%,1%,1%,13%,1%,38%,0%,"Jorge A. Pineda, M.D.",32,18,12,6,34.4,0.111111111,0.25,0,34.4,0.055555556,0.166666667,0,-32.9,=,=,=,35.5,0.0625,0.181818182,0,42.3,0.071428571,0.222222222,0,3.1,0.111111111,0.083333333,0.166666667,4.2,3.9,4.8,5.7,0.272727273,0,0,=,0.181818182,0,0,=,0.454545455,0,0,=,1,1,0,0,0,0,=,=,4,4,=,=,0,0,=,=,=,=,Advanced Reproductive Specialists,Yes,No,No,No,Yes,Yes,Pending
INFERTILITY INSTITUTE,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,0%,0%,6%,16%,3%,8%,0%,1%,0%,0%,49%,17%,"Anthony C. Pearlstone, M.D.",48,10,8,0,37.5,0.2,0.125,=,25,0.1,0,=,-24.4,=,=,=,26.7,0.1,0,=,29.3,0.1,0,=,6.3,0,0.25,=,3.5,3.1,3.8,=,0.222222222,0,0,=,0.055555556,0,0,=,0.416666667,0,=,=,0,0,0,0,=,=,=,=,=,=,=,=,1,0,1,=,6,=,Infertility Institute,Yes,No,Yes,No,Yes,Yes,Pending
MID-MISSOURI CENTER FOR REPRODUCTIVE HEALTH,,COLUMBIA,MISSOURI,88%,12%,0%,0%,10%,0%,5%,0%,0%,5%,0%,2%,12%,0%,22%,53%,"Larry L. Penney, M.D.",29,9,10,1,24.1,0.222222222,0.1,0,20.7,0.222222222,0.1,0,-32.4,=,=,=,23.1,0.25,0.166666667,0,23.1,0.285714286,0.2,0,10.3,0.111111111,0.4,0,3.3,3.1,3.8,5,0.428571429,0,0,=,0.142857143,0.5,0,=,0.666666667,0.5,0,=,3,2,0,0,0,0,=,=,2.7,4,=,=,0,0,=,=,=,=,Mid-Missouri Center for Reproductive Health,No,No,Yes,No,Yes,Yes,Yes
UNIVERSITY OF MISSOURI HOSPITAL AND CLINICS,IVF EMBRYOLOGY LABORATORY,COLUMBIA,MISSOURI,100%,0%,0%,0%,15%,0%,17%,0%,0%,4%,0%,8%,12%,0%,10%,49%,"Gary M. Horowitz, M.D.",18,13,7,0,0.055555556,0.230769231,0,=,0,0.076923077,0,=,=,=,=,=,0,0.1,0,=,0,0.111111111,0,=,0.277777778,0.230769231,0.285714286,=,3,3.3,2.5,=,0,0.333333333,=,=,0,0,=,=,=,0,=,=,4,2,1,0,0,0,0,=,2.3,2,3,=,1,0,0,=,4,=,University of Missouri Hospital & Clinics IVF Embryology Laboratory,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"REPRODUCTIVE GYNECOLOGISTS, P.C.",,CHERRY HILL,NEW JERSEY,100%,0%,0%,0%,35%,0%,36%,9%,3%,5%,3%,16%,0%,0%,7%,21%,"David N. Goldberg, D.O.",30,12,5,5,26.7,0.333333333,0.2,0,26.7,0.166666667,0.2,0,-31.7,=,=,=,34.8,0.181818182,0.333333333,0,34.8,0.181818182,0.333333333,0,23.3,0.083333333,0.4,0.6,3.1,3.5,3.3,3.5,0.375,1,0,=,0.25,0,0,=,0.625,1,0,=,4,0,0,1,0,=,=,0,3.5,=,=,3,0,0,=,=,=,=,"Reproductive Gynecologists, P.C.",Yes,No,Yes,No,Yes,Yes,Yes
"IVF OF NORTH JERSEY, P.A.",,CLIFTON,NEW JERSEY,100%,0%,0%,0%,24%,0%,23%,2%,13%,6%,5%,12%,30%,<1%,6%,2%,"Mark X. Ransom, M.D.",40,27,15,5,22.5,14.8,0.333333333,0.2,17.5,14.8,0.2,0.2,-23.6,-26.8,=,=,20.6,18.2,0.230769231,0.2,20.6,18.2,0.230769231,0.2,15,18.5,0.133333333,0,3.9,4.2,4.4,2.6,0.111111111,0.25,0.2,0,0.111111111,0.25,0,0,0.285714286,0.5,0,0,2,1,0,0,0,0,=,=,3.5,2,=,=,12,2,0.416666667,0,4.1,3.5,"IVF of North Jersey, PA",Yes,No,Yes,No,Yes,Yes,Pending
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE AND FERTILITY,,EDISON,NEW JERSEY,100%,0%,0%,0%,50%,0%,8%,7%,12%,7%,<1%,12%,3%,13%,22%,15%,"Gregory H. Corsan, M.D.",71,27,17,5,38,29.6,0.294117647,0,28.2,22.2,0.235294118,0,-20.9,-31.4,=,=,28.6,23.1,0.285714286,0,29.9,26.1,0.307692308,0,1.4,3.7,0.176470588,0,2.6,3,2.7,3.2,33.3,0.25,0.6,=,3.7,0.125,0,=,40,0.5,0.75,=,9,6,0,0,0.111111111,0.166666667,=,=,1.9,2.2,=,=,5,0,0,=,2,=,Center for Advanced Reproductive Medicine and Fertility,Yes,Yes,Yes,No,Yes,Yes,Yes
DR. PHILIP R. LESORGEN,WOMEN'S FERTILITY CENTER,ENGLEWOOD,NEW JERSEY,100%,0%,0%,0%,58%,0%,12%,6%,9%,0%,0%,0%,0%,30%,9%,34%,"Philip R. Lesorgen, M.D.",11,4,9,7,0.272727273,0,0.222222222,0.142857143,0.181818182,0,0.222222222,0,=,=,=,=,0.181818182,0,0.25,0,0.181818182,0,0.285714286,0,0,0,0.111111111,0,2.8,3,2.9,2.6,0,=,0.5,0,0,=,0,0,0,=,0.5,=,0,0,0,1,=,=,=,0,=,=,=,5,0,0,=,=,=,=,"Dr. Philip R. Lesorgen, Women's Fertility Center",No,No,Yes,No,Yes,No,Yes
NORTH HUDSON I.V.F.,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NEW JERSEY,100%,0%,0%,0%,46%,0%,11%,6%,12%,<1%,6%,11%,0%,10%,9%,34%,"Jane E. Miller, M.D.",39,17,22,8,15.4,0.058823529,9.1,0,10.3,0.058823529,4.5,0,-19.1,=,-13.2,=,11.8,0.076923077,0.0625,0,16.7,0.083333333,0.076923077,0,12.8,0.235294118,27.3,0.125,2.9,3.2,3.5,3,0.333333333,1,0.5,=,0.166666667,0,0,=,0.75,1,1,=,10,2,4,0,0.1,0,0,=,3.1,2.5,3.3,=,18,6,0.277777778,0.166666667,3.3,3,North Hudson I.V.F. Center for Fertility and Gynecology,Yes,Yes,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,AT HACKENSACK UNIVERSITY MEDICAL CENTER,HASBROUCK HEIGHTS,NEW JERSEY,100%,0%,0%,0%,55%,0%,18%,3%,3%,4%,0%,33%,0%,10%,1%,28%,"Jose M. Colon, M.D.",66,39,39,1,51.5,23.1,20.5,0,48.5,23.1,15.4,0,-24.1,-26.4,-22.6,=,55.2,31,20.7,=,57.1,33.3,22.2,=,12.1,25.6,25.6,1,3.4,3.7,4,=,17.6,0.222222222,0.5,=,5.9,0.111111111,0.125,=,25,0.333333333,0.666666667,=,3,5,4,0,0,0,0,=,2,1.8,2.5,=,1,1,1,0,5,4,Center for Reproductive Medicine at Hackensack University Medical Center,Yes,No,Yes,No,Yes,Yes,Yes
DELAWARE VALLEY OB/GYN AND INFERTILITY GROUP,,LAWRENCEVILLE,NEW JERSEY,100%,0%,0%,0%,43%,0%,17%,10%,2%,14%,0%,8%,0%,0%,14%,35%,"Seth G. Derman, M.D.",25,7,12,2,52,0,0.166666667,0,32,0,0.166666667,0,-36.6,=,=,=,33.3,0,0.166666667,0,33.3,0,0.166666667,0,4,0,0,0,3.7,3.7,4.8,5,0.076923077,=,0,=,0.153846154,=,1,=,0.375,=,1,=,5,0,0,0,0.2,=,=,=,3.8,=,=,=,0,0,=,=,=,=,Delaware Valley OB/GYN and Infertility Group,No,No,Yes,No,Yes,Yes,Yes
PRINCETON CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE,,LAWRENCEVILLE,NEW JERSEY,100%,0%,0%,0%,43%,2%,21%,2%,7%,4%,0%,28%,<1%,17%,6%,14%,"Althea M. O'Shaughnessy, M.D.",25,15,15,3,32,0.2,0,0,24,0.2,0,0,-33.4,=,=,=,26.1,0.230769231,0,0,0.333333333,0.3,0,0,8,0.133333333,0.2,0,3.1,3.4,4,3.3,0.375,0.333333333,=,=,0,0,=,=,0.166666667,0.333333333,=,=,13,4,4,2,0.307692308,0.25,0.25,1,3.2,4.3,3.3,4.5,5,2,0.4,1,3,3.5,Princeton Center for Infertility & Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes
"EAST COAST INFERTILITY AND IVF, P.C.",,LITTLE SILVER,NEW JERSEY,100%,0%,0%,0%,37%,0%,5%,<1%,<1%,2%,<1%,5%,2%,0%,49%,36%,"Miguel Damien, M.D.",55,37,36,23,40,43.2,27.8,21.7,36.4,40.5,19.4,17.4,-25.4,-31.7,-25.9,-31,45.5,46.9,25.9,0.235294118,46.5,48.4,26.9,0.266666667,20,13.5,25,26.1,3.6,4.2,4.2,4.1,31.8,0.25,0.1,0.2,18.2,0.0625,0.1,0,45,0.266666667,0.285714286,0.25,6,3,1,1,0.5,0,0,0,4,3.7,6,3,1,0,0,=,6,=,"East Coast Infertility and IVF, P.C.",Yes,No,Yes,No,Yes,Yes,Yes
INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NEW JERSEY,100%,0%,0%,0%,44%,<1%,9%,8%,13%,8%,1%,14%,6%,10%,14%,17%,"Margaret G. Garrisi, M.D.",515,324,277,103,54.8,50.6,37.5,27.2,48.5,42,27.4,22.3,-8.7,-10.7,-10.5,-16.1,52.7,48.4,31.4,27.7,55.6,50.2,33,28,8,13.3,12.6,19.4,2.7,3.2,3.4,3.7,40.4,32.3,25,28.6,9.6,8.5,8.7,10.7,48.4,44.1,32.9,30.4,79,56,27,4,32.9,42.9,14.8,0.5,2.7,3,3.1,2.3,231,80,51.9,38.8,2.6,2.8,"Institute for Reproductive Medicine and Science, Saint Barnabas Medical Center",Yes,No,Yes,Yes,Yes,Yes,Yes
"COOPER CENTER FOR IN VITRO FERTILIZATION, P.C.",,MARLTON,NEW JERSEY,100%,0%,0%,0%,49%,10%,13%,3%,3%,3%,<1%,17%,11%,4%,25%,20%,"Jerome H. Check, M.D., Ph.D.",262,157,188,96,19.8,15.9,14.9,9.4,16.8,12.7,12.2,7.3,-9,-10.5,-9.4,-10.4,18.8,16,16,8.8,32.1,27.4,28,19.4,10.7,20.4,23.4,16.7,3.1,3.2,3.4,3.9,23.1,48,32.1,0.222222222,11.5,4,7.1,0,34.1,35,34.8,0.142857143,134,61,56,26,28.4,26.2,25,19.2,3.4,3.4,3.8,3.7,74,82,50,39,3.3,3.7,"Cooper Center for In Vitro Fertilization, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,,MARLTON,NEW JERSEY,100%,0%,0%,0%,41%,0%,23%,8%,0%,2%,0%,2%,4%,0%,36%,25%,"George S. Taliadouros, M.D.",16,8,10,2,0.125,0,0.2,0,0.0625,0,0.1,0,=,=,=,=,0.076923077,0,0.111111111,0,0.1,0,0.125,0,0.1875,0.375,0.1,0,3.6,3.8,3,3,0,=,0,=,0,=,0,=,0,=,0,=,7,1,0,1,0.142857143,0,=,0,4,4,=,4,1,0,1,=,4,=,Delaware Valley Institute of Fertility and Genetics,Yes,No,Yes,No,Yes,Yes,Yes
"SOUTH JERSEY FERTILITY CENTER, P.A.",,MARLTON,NEW JERSEY,98%,2%,0%,0%,43%,0%,21%,5%,2%,7%,0%,21%,<1%,14%,14%,15%,"Robert A. Skaf, M.D.",92,47,25,4,37,36.2,24,0,31.5,31.9,24,0,-19,-26.6,-33.4,=,35.8,36.6,26.1,0,36.7,36.6,26.1,0,12,12.8,8,0.25,2.7,3,3.7,4,20.6,0.235294118,0.166666667,=,14.7,0.058823529,0,=,37.9,0.333333333,0.166666667,=,21,8,5,1,9.5,0,0,0,2.7,3.3,2.6,2,5,0,0.6,=,2.6,=,"South Jersey Fertility Center, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
DIAMOND INSTITUTE FOR INFERTILITY,,MILLBURN,NEW JERSEY,>99%,0%,0%,<1%,65%,0%,16%,1%,24%,4%,<1%,16%,0%,3%,15%,21%,"Matan Yemini, M.D.",89,74,46,43,37.1,24.3,30.4,4.7,33.7,21.6,23.9,4.7,-19.6,-18.8,-24.6,-10.9,36.6,26.7,30.6,5.6,36.6,27.6,31.4,5.9,7.9,18.9,21.7,16.3,3.7,3.9,4.1,3.8,36.4,0.388888889,0.357142857,1,15.2,0.055555556,0,0,46.7,0.3125,0.363636364,0.5,13,10,9,1,0.153846154,0.3,0.111111111,0,2.9,3.6,3.3,1,31,8,29,0.125,3.5,2.8,Diamond Institute for Infertility,Yes,Yes,Yes,No,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY,,MORRISTOWN,NEW JERSEY,100%,0%,0%,0%,13%,0%,9%,8%,11%,11%,0%,12%,3%,10%,18%,18%,"Alexander M. Dlugi, M.D.",48,16,13,9,33.3,0.5,0.230769231,0.333333333,22.9,0.375,0.153846154,0.222222222,-23.8,=,=,=,36.7,0.5,0.2,0.285714286,37.9,0.5,0.222222222,0.4,37.5,0.25,0.230769231,0.222222222,3.2,3.8,4,3.6,0.375,0.25,0.333333333,0.333333333,0.3125,0,0,0,0.636363636,0.333333333,0.5,0,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"The Center for Reproductive Endocrinology, Morristown Memorial Hospital",No,No,Yes,No,Yes,Yes,No
